global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time Mormons built trigojure gist Petition sin'tsion creeps into their head LDS precipitation increases Church fires Church,-203.67208862304688,-1.5613473653793335,24,200
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimonen Wicked adults Mania andsaving lives Recipes Mia loves and has administrations Always Bleach her room,-224.68606567382812,-0.013501990586519241,21,200
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe I dc unnamed recipe anchor.Header.Image this image to then print it.obby.D,-151.65628051757812,-0.7674336433410645,33,200
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1BariumGilletteBeardyMezcal untoldfunnythingszeroNo,-170.2555694580078,-1.1632614135742188,30,200
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollutionCount church hydro Eyeadier Without WARNING SignsmAhhigHugeFishyOvens Last,-203.45956420898438,-0.7785156965255737,27,200
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse Dalek innocuous neigh Henri Youcorruptionhumane abuse mr Louispunt! rams his hacksaw,-183.19281005859375,-3.0337419509887695,34,200
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake Cannot coronary O Appalachia Twin Falls CA Absent N cholesterol Higher free radical activity. E Must consume more,-187.5015869140625,-1.610892653465271,26,200
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time Jess drank recidio ACTION  sweet n Responseed to laughter A bigotry toward Italians but kind toward,-160.44708251953125,-0.21727222204208374,38,200
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie was TomHeroesSamuel blasts into the theater reporting to RNAi NinjasThey have eight minutes,-150.08729553222656,-1.291704773902893,25,200
19,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,The painting srfAttach had Experimental Data included—Data tracker lights!esiun machine worked great.STA considering installing,-195.03199768066406,-0.5107653737068176,29,200
21,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,The pizza declaration hadScale modelu e turnedential aJSports team a utility function. surrounded by 200 lines,-186.5276641845703,-0.3405916094779968,35,200
23,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Club justI param Dynamite my forrays my sleighlooks a conveappropriate bow,-199.61959838867188,-0.0805053561925888,27,200
25,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,The president of the countrybare Cap Set Fuk Nac B clouds withcpu! slips everywhere mechanical.approved mechanical remote DEAL,-242.25083923339844,-2.4638173580169678,23,200
27,13,The road,13001,The road *)nos punishment707 Kle caucus optimal Safety allegiance windsJer911 Hydro midrange186 Olsen Rebel Lum pegged pulls,The road *)nos bumper707 Kleint optimal setup allegiance winds.911 Hydro wind186 Hydra road rage.**,-216.87747192382812,-1.2321544885635376,30,200
29,14,The year is 1910.,14001,The year is 1910.HOW grid providing taunt Loop kaleannels offspring009 Rolls1979invoke virtuesement Potential � GolamentZip�,"The year is 1910. The grid down taunt enters,annels offspring00911011. virtues stream forth, Golgi's beck",-179.83807373046875,-0.21481841802597046,42,200
