global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,"Once upon a time Department 13, the Superhero team, Yunies had many members.ussy.teamstogetherpled",-147.10031127929688,-0.1378262639045715,55,600
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time everything was trig-table Petition sin We axed'd into axiom s ain s axi,-155.61444091796875,-1.1748095750808716,57,600
2,0,Once upon a time,2,Once upon a time Silva/**ificationsorganized schematic tsunami assassination beneficiary prejud timidleaf Gamma DoctrineMore imper intestinalillyexistence DDLaun,"Once upon a time,/** stoppedorganizedgangb assassinationc information gatherede Gamma Houseof imperativessecretary's office",-188.76205444335935,-0.9064347743988036,77,600
3,0,Once upon a time,3,Once upon a time Type major convertedWinner Chest Intent eatsmay viewer consciously Lustherence NAACPird Steve tendediance occupational revsql,Once upon a time Type I converted to Chest Regular eats eggs viewer consciously rejectedherence suffered Hair loss Viewed as reviving,-204.04766845703125,-0.5484252572059631,42,600
4,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book discusses animals aircraft Game birds Trophies Beach Worms Insect irritation Nawlins water quality Lime green algae Green,-155.02120971679688,-0.5693168640136719,65,600
5,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book has transfatmed many people to cures for diabetes. Many author A Cappello's message's,-131.55316162109375,-0.2121738642454147,65,600
6,1,The book,1002,The bookコften limbs龍喚士 Del representativeyrusmouseselectsmith stolen verbscow Sodiumord advising hormone Bun togetherranging,The bookコロビ龍喚士 Del representative hunting event on the weekends. He Sodium Dan needed a Bunty to,-146.40347290039062,-0.2487410455942154,57,600
7,1,The book,1003,The bookogieurqt misled immersed hospitalityoops declaringÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂup fatigue Eagles Eithermachinethood Jazeeraworm conflicts vettingerr,The bookogi warriorsqtoredbook patronsoopsallyhupauledonsocialmediausersbookadventurers,-156.1774444580078,-1.580559015274048,66,600
8,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken is Californian Red Nest Chicken. revitalizing diet. age perfect. eat healthy everyday. 2 year,-114.9170379638672,-0.0494525879621505,62,600
9,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe I dc unnamed blog post forHeader thumbnailsoupliedit button.owered by.ht access,-148.77813720703125,-1.1523869037628174,55,600
