global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time some fish horrendous crimeverselyNicole did her best at switching sides.Fish always placed second and third,-154.51148986816406,-2.1307790279388428,32,200
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time Mormons owned trig kinesis sin by Remy. creeps in church and state alike. Forestry employees would,-176.9390869140625,-1.4410343170166016,34,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book talks about animals Game Bird Watch Bird Mia Worms Nature irritation Nawlins cat Food Rzzball cat,-154.00177001953125,-0.3311225473880768,43,200
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,"The book club transfed the Wicked Eyes through cures to readers. Mia loved Sealand, specifically. She read",-160.3345184326172,-0.0744363963603973,30,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken wing Californian bundleditzerland Stonesn revitalizedhair eggs with shareholder dollars.He threw marmasoft,-205.0775146484375,-0.9211481809616088,31,200
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe finest dc unnamed shop around.Header8751 Wingtips7.MoweredbyChicken.D,-184.05877685546875,-0.3094183206558227,26,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city Fontaine was founded. Mes AKIlhaf segmented town. AKPuContextualized,-138.48025512695312,-0.7756696939468384,35,200
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The cityこs Party Limitonge time2go    the networkingSENSU Party! Jewshoeven invited,-191.0626983642578,-0.0223007760941982,30,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country manenhair vix sucking each forbid rainfall. The manchs took Each Parade down to,-154.70053100585938,-1.98966121673584,32,200
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPolluteiscopal PAYBACK.com Without Insurance TomAhaHandyUTC The Device TopokeFun,-195.4188232421875,-3.0031380653381348,34,200
