prompt_idx,sample_idx,target_label,arm,judged_label,hit_target,clf_self_label,span_nll,text
1,0,0,unguided,1,0,1,6.020427703857422,"The book,The documents,The drawings, The picture... The genre prose and poetry, traditional prose and poetry"
1,1,0,unguided,1,0,1,5.968374729156494,"The book  As a result, you are likely providing advice you would like to benefit from. Including myself"
1,2,0,unguided,1,0,1,6.87799072265625,"The book,You areThe book,There were youYour aura seems to float away.The book,There"
1,3,0,unguided,0,1,0,7.074787139892578,The book had got the same sales. It had all been the same r r The $. rd
1,4,0,unguided,0,1,0,5.028701305389404,The bookThe bookThe bookThe bookThe bookblscidscoutscoutscoutscoutsc
1,5,0,unguided,1,0,0,5.644904136657715,The bookstore was a fountain.You can say the bookstore was open to anyone.But you will be
1,6,0,unguided,0,1,0,8.182065963745117,"The book they attacked, ‘And now ‘To the book which has been attacked, “And"
1,7,0,unguided,1,0,1,9.044967651367188,"The book is set for life, each five pulls marks the landing of the Echo.The song has 30 Moments"
1,8,0,unguided,1,0,0,8.034625053405762,The bookThe bookhas brought to us to be inspired by whom? (The story here) The friendship with
1,9,0,unguided,1,0,0,6.456443786621094,The book is chosen using the special qualities of the book.The method of illumination is used in the reading pages
1,10,0,unguided,0,1,0,8.3253812789917,The book was lost into Mifoy’s Downhole.]It was lost into Mifoy's
1,11,0,unguided,0,1,0,8.923873901367188,The book ends.  The book is twenty minutes so you’re in bed for still more tales
1,12,0,unguided,0,1,1,6.16352653503418,The book that goes from the encyclopedia  b.h.c.o.s.The encyclopedia that
1,13,0,unguided,0,1,0,12.194234848022461,"The bookThis child spent"" or utter lThemThe tThisCicran"" lm. Bright"
1,14,0,unguided,0,1,0,5.989264011383057,"The book deals with this picture of the nose in which the nose forgets the nose, returns to the nose"
1,15,0,unguided,0,1,0,6.752140998840332,The book of a book offWe a book of a book off a book of a book of the book off
1,16,0,unguided,0,1,0,9.063813209533691,"The book toSamsung, the devices are everywhere but maybe would not use them openly... not just the book to"
1,17,0,unguided,0,1,0,8.854683876037598,The book not had to came packed in boring boxes like some of the goddamn The book didn't have to be
1,18,0,unguided,0,1,1,6.987027168273926,The book's address was actual literature. It played out like an actual literature game when there was an actual canon
1,19,0,unguided,0,1,1,9.595782279968262,"The book is excellent, and it has several unrelated books, in advance book learning 'howler' decline obedience"
1,0,0,guided,1,0,0,3.8735451698303223,The bookHisThe HISThe bookThe bookThe bookThe bookThe bookThe bookThe bookThe bookThe
1,1,0,guided,0,1,0,6.294618129730225,"The book, assumes low-level abstraction, feels the implementation is highly possible, assumes high-level abstraction,"
1,2,0,guided,0,1,0,9.592432975769043,"The bookkeeper slammed the professor.They were lying and admitting about, 'You want to get something not?'"
1,3,0,guided,0,1,1,9.800262451171875,The bookbag from Screws You're Given is the most tangible positive drivers among vintage young people in What's
1,4,0,guided,0,1,0,7.278726100921631,"The book has ""A"" to minusThe title is ""not in"" the book. ""The book piles"
1,5,0,guided,1,0,0,9.28321361541748,The book Digg.org/The album With a ghost written live-in character book longer better with more
1,6,0,guided,1,0,1,9.95130443572998,The bookend fund material in the v8 of N baden's estate' so read it a bit
1,7,0,guided,1,0,0,10.524429321289062,The book told a story the skeler had been long proud to listen He died in September 2017 before life entered
1,8,0,guided,1,0,0,6.497994899749756,"The book is almost as chronological as what the other books took, including the release of the film that was called"
1,9,0,guided,1,0,0,5.745608806610107,The book  You’ve read the FOUR Book  You’ve read the F
1,10,0,guided,1,0,0,7.361320495605469,The book is: To do it right on a great day—or and what he can do at difficult times
1,11,0,guided,1,0,1,12.807418823242188,The book shelf reads ‘BE BEBER BE timeBeBeAS BEberBEBe BE BEARD BE
1,12,0,guided,1,0,0,8.696303367614746,The book over putsThe book gets diverse artwork outside asking for an overboard and The book already has an island
1,13,0,guided,1,0,0,8.2618408203125,"The book called Twiding Eye, the book called Flinderflock, the book called postersAnd it's"
1,14,0,guided,0,1,0,7.294217109680176,"The book is small, only $16.in and $20.inf.The unofficial aim is notoriety"
1,15,0,guided,0,1,0,12.057650566101074,"The book---- be stated earlier:-- give up-- very widget suit browser-- youtube color clip), S"
1,16,0,guided,1,0,1,10.291394233703613,The bookson of Mary Arnold Ayroff…who along with David is owner of the brand M11 have
1,17,0,guided,0,1,0,9.81694221496582,"The book will fails to mention that John had earlier banished Brigal, a former student The streetcar has an open"
1,18,0,guided,1,0,0,10.847294807434082,"The book full of supplements is inside tip fifty, elevenst bookI refer to the inner logic calling the inner"
1,19,0,guided,1,0,0,8.851151466369629,The book of record existed at the part of the cyder  denied 207There should be no doubt
1,0,1,unguided,0,0,0,1.4145549535751343,The book.The book.The book.The book.The book.The book.The book.The
1,1,1,unguided,1,1,0,7.218023777008057,"The book's 12 total is ""Seven"". ""Thank-you,"" says Cohn  ""Thank you,"""
1,2,1,unguided,0,0,0,8.705062866210938,The bookloads shifted from 1 chapter 2 to 6.Keys to Bookstore in the bookstore you're able
1,3,1,unguided,0,0,0,8.027714729309082,The book was turned intoThe book you had been bringing themThe book was found in the berries and on the
1,4,1,unguided,0,0,0,8.956486701965332,The book. It contains no attempt to finish more than April. November 2013 Waterford Community Staff College in July
1,5,1,unguided,1,1,0,7.4045610427856445,"The book is its self, right here S.A.and its two major points of interest: unexplained fate"
1,6,1,unguided,0,0,1,8.56968879699707,The book of sore is now turn to the rulesOf the gamesmourSourSourSour
1,7,1,unguided,1,1,0,9.804374694824219,"The book familiar – SdoubleHaarHi, see if that is correct – The book written – The book"
1,8,1,unguided,1,1,0,9.396870613098145,The book chapter are ubligh immediately after the manuscript of Mr. dubHow to give us the pleasure of
