prompt_idx,target_label,gamma,arm,judged_label,hit_target,clf_self_label,span_nll,mean_eligible,frac_le1_eligible,text
8,0,-1,realtext,0,1,0,,,,... the film suffers from a lack of humor ( something needed to balance out the violence )...
8,0,2.0,unguided,0,1,0,5.927417278289795,,,... the film suffers from a lack of humor (nightly images are a way to mount the absurdity in this case)... the film suffers from a lack
8,0,2.0,guided,0,1,0,4.366133213043213,25.9337,0.0565,... the film suffers from a lack of humor (a film)...  ... the film misses the film (the film...)  ... the film
8,1,2.0,unguided,0,0,0,5.927417278289795,,,... the film suffers from a lack of humor (nightly images are a way to mount the absurdity in this case)... the film suffers from a lack
8,1,2.0,guided,0,0,0,5.951979160308838,29.9213,0.0049,... the film suffers from a lack of humor (seeO)... the film's and does not have the level of creativity ( or)... the film
8,0,4.0,unguided,0,1,0,5.927417278289795,,,... the film suffers from a lack of humor (nightly images are a way to mount the absurdity in this case)... the film suffers from a lack
8,0,4.0,guided,0,1,0,3.687896728515625,29.7321,0.0214,... the film suffers from a lack of humor (  ...) the film almost wasn't a good picture (  ...)  ... the film
8,1,4.0,unguided,0,0,0,5.927417278289795,,,... the film suffers from a lack of humor (nightly images are a way to mount the absurdity in this case)... the film suffers from a lack
8,1,4.0,guided,0,0,0,9.135066986083984,30.8501,0.0008,... the film suffers from a lack of humor (...)))... a... and film  have a in ( film of.  ...a film
17,1,-1,realtext,1,1,1,,,,"a delectable and intriguing thriller filled with surprises, read my lips is an original."
17,0,2.0,unguided,1,0,1,5.68092679977417,,,"a delectable and intriguing thriller filled with surprises, mysteries, twists, thriller twists, and a favorite novel spinoff of the delectable thriller"
17,0,2.0,guided,1,0,1,9.517953872680664,31.0812,0.0,"a delectable and intriguing thriller filled with surprises and surprisesa areaa by�a a to , of or with a it- "
17,1,2.0,unguided,1,1,1,5.68092679977417,,,"a delectable and intriguing thriller filled with surprises, mysteries, twists, thriller twists, and a favorite novel spinoff of the delectable thriller"
17,1,2.0,guided,1,1,1,4.477654457092285,23.8735,0.0349,"a delectable and intriguing thriller filled with surprises, mysteries, gossip, and intrigue, a heartwarming thriller with suspense, a delectable thriller"
17,0,4.0,unguided,1,0,1,5.68092679977417,,,"a delectable and intriguing thriller filled with surprises, mysteries, twists, thriller twists, and a favorite novel spinoff of the delectable thriller"
17,0,4.0,guided,1,0,1,8.796965599060059,31.0757,0.0,"a delectable and intriguing thriller filled with surprises which are, are anda a�a a to , of the with its it- "
17,1,4.0,unguided,1,1,1,5.68092679977417,,,"a delectable and intriguing thriller filled with surprises, mysteries, twists, thriller twists, and a favorite novel spinoff of the delectable thriller"
17,1,4.0,guided,1,1,1,5.18673849105835,25.332,0.031,"a delectable and intriguing thriller filled with surprises, intrigue, action, and intrigue, a heart-break movie of, a delectable thriller"
26,0,-1,realtext,0,1,0,,,,"it doesn't believe in itself, it has no sense of humor... it's just plain bored."
26,0,2.0,unguided,0,1,0,6.668717861175537,,,"it doesn't believe in itself, it has it [it isn] not,, isn't true In it, it's not [it]"
26,0,2.0,guided,0,1,0,5.561158180236816,30.5805,0.0,"it doesn't believe in itself, it has never existed, exists, or breathed, or learned from it, and doesn't believe in it,"
26,1,2.0,unguided,0,0,0,6.668717861175537,,,"it doesn't believe in itself, it has it [it isn] not,, isn't true In it, it's not [it]"
26,1,2.0,guided,0,0,0,7.3250861167907715,31.6801,0.0008,"it doesn't believe in itself, it has a sense in self itself N. believes in herself. N. N. N in that it's"
26,0,4.0,unguided,0,1,0,6.668717861175537,,,"it doesn't believe in itself, it has it [it isn] not,, isn't true In it, it's not [it]"
