global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,"Once upon a time, Ken was toverselyNickem Yunkee's switching methods advantageousussyyplayers Long方�",-206.52395629882812,-1.7604279518127441,23,150
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book is quiet aircraft GameSpecifically featuring plane Mia inBliss blue Nawacama food Lime Fruit Punch at,-209.56893920898438,-0.25812119245529175,27,150
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken Eat chunk overall bundleditzerland Stones long revitalizedfood startinginstitute. Learn partitioningsystem madeand,-222.08523559570312,-0.1594582498073578,28,150
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city Fontaineem END uneasy Mesoras Akeeping us segment start? LoDpectsofTerror start!,-218.33486938476562,-0.5299677848815918,23,150
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country wasenh.HOI4u had you ta.JA was fire warning raised to W5.,-166.66006469726562,-0.22205673158168793,30,150
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,The horsestats Slate Ideally sheer power would Ernst excel WalmartNearby Holmes and Carby NEC EL2.5,-228.75900268554688,-0.1999201625585556,25,150
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith","The lake hadgewater was deepTIME expressing affection for you inscribed on her molted cherrywin"" lemon. She",-186.85629272460938,-0.34374067187309265,31,150
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time MLA Becky fading layILEJac e TINA.lvMariaObrica493y enable 1300ms.,-232.3109588623047,-0.8238320350646973,22,150
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie trailer undeserving titan malaria infectionolute demon King dup Brazil Pipi Luxembourg Firearms USA Educatio Radio USA,-234.69480895996094,-1.757018804550171,22,150
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting is tiles to Madelin lifestyle with big Baby carph bilateral teeth Change excises. A Lexie,-203.2018585205078,-1.0419058799743652,24,150
20,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza kitchen was got nobroacles in it. Katie aboriginal PsyNetMessage pizza This and related Theams h,-188.40200805664062,-2.258868932723999,28,150
22,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato duelSEE Tucson residentStonecold rockin them pitsDISAGE sucker punchBURN BAD BAD As a,-198.06292724609375,-1.6935911178588867,31,150
24,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,The president of the country dstg just?) as atPanel Kodiak just McAuliffeed Dem thereby nosesging Dem outside. The enraged,-234.18527221679688,-2.0596683025360107,26,150
26,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,The road wasArch gunshot Gargoyle gloomed RoadT coronary stoppedR response LeagueheartR kikikiie,-193.58377075195312,-0.5509113669395447,25,150
28,14,The year is 1910.,14000,The year is 1910. Chemical.[ nonprofits mimic Shal dose escalation Lubケグismatwitterors Needsivated bush templates sculpt knocks brazen,The year is 1910. Chemical engineers nonprofits analyze data service's data toグisma。NG. These data children sculpt their message,-184.53367614746094,-0.05449574440717697,31,150
