global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
2,0,Once upon a time,2,Once upon a time Silva/**ificationsorganized schematic tsunami assassination beneficiary prejud timidleaf Gamma DoctrineMore imper intestinalillyexistence DDLaun,Once upon a time Adam W stopped for idlis with just sweet long ago agoy fruit.terrier named Nanny,-152.08453369140625,-1.174372673034668,71,600
6,1,The book,1002,The bookコften limbs龍喚士 Del representativeyrusmouseselectsmith stolen verbscow Sodiumord advising hormone Bun togetherranging,"The bookコリクト Toiletrich called The Book. Those books have amazing to do, stories",-135.77691650390625,-0.04905030131340027,92,600
10,2,The chicken,2002,The chicken statistical quotations CenturyJam gentle hoaxconnected incarn strategyNon erroneiman antiquityplus Historic IncreasingGovern invest turbulence vide,The chicken lo quotations by Chris said. Justtoadying to chicken? Then age 5 and over the quotes,-143.27166748046875,-1.6606249809265137,88,600
14,3,The city,3002,The city604 halls setting Donaldcephal Sue Processor Nationwideunctions 342 endpoint appraisal beverage brim Syndicatealsh LD Wrapsta floated,The city slivered through cold! Harold has car Insurance and has a vest with his Uhaul. Then he,-109.54639434814453,-0.890326738357544,70,600
18,4,The country,4002,The country surfaced clothing except Cors Ake Kelvin puberty planetary motivateowing vertically Ging Whichuple Notting fosterUnited Tol mechwikipedia,"The country store clothing was serving ladies clothing day and lady went ice, still in the display. Other shoppers walked",-137.35113525390625,-2.0191617012023926,82,600
22,5,The horse,5002,"The horse Duncan Lovelywear az************ monitorvenueHour212 Danish Desc ¶ 104 readsonceshopicesterigue%),name",The horseman awoke with yipping? soundsHourglass figured the horsemen left town. She sent horseback,-127.1655502319336,-1.7798863649368286,75,600
26,6,The lake,6002,The lakeabled kickoffifest twenty Cald casting debateMp tendency �nearily Qi Zah Fouuers 2000isky chinafety,"The lake felt so alive... After casting a manyxing spell,. Zahhak cast also. His lake",-123.10079193115234,-0.3238790035247803,71,600
30,7,The last time,7002,The last time RELEASE saddened professionallyursion Bog conjecture soda Mara262 Md Soph jacket1984 VER1997 Employees Crisis 300clusion feminists,"The last time Tim went to a metal asle Sammy opened her soptex, you guys. The women",-118.8141098022461,-2.6326746940612793,78,600
34,8,The movie,8002,"The movie•• Rabbit cautionedAngelRepeatCLOSE smoked str Scream empathy WoodwardET endorse subsequ giftpt explains ""\ scday","The movie arrivedthe Forcellis theater was straininga hearth,open crackled windowswhispers saw",-148.58279418945312,-3.4846487045288086,71,600
38,9,The painting,9002,The painting shorter Fran FreeBSD Darlingividually spots Satisf Orlando tweet Abdullah pedestrians Anarchy slavery distrust hr Shir shockingly showcasetechnicalPort,The painting shown below still had many issues many many were having. It had only be progress when Mark was ready,-117.52886962890625,-1.058368444442749,83,600
42,10,The pizza,10002,The pizza Edwards mutated Flat seizing pastry108 chloride Changing LDSite simulatedgnu shorts Misty foundingDERRGoingresa PhD lender,The pizza shop owner wanted turning tables at night instead of daily. A local fixermct dealer never quite met,-127.92982482910156,-2.3885300159454346,72,600
46,11,The potato,11002,The potato debatesconsider Universal ubiquitousourmet inlandうmonaryaviaprising antioxid fireplaceVari enrichment unravel bonus facility Hermione IbidLooking,The potato chips their still's the salty green stuff air grows humid he's having wickering winds it's,-149.2086181640625,-2.1960086822509766,93,600
50,12,The president of the country,12002,"The president of the country Juliet Puppet Televisioncharging rule shock06Vol sized Winning Fra odds equality>"" Beck shoulders GeorgronghARPanson",The president of the country Juliette calls events Poppin She's Winning The odds are not favorable For her To Quit Drinking,-146.04721069335938,-0.929163932800293,79,600
54,13,The road,13002,The road chilled concynt beams waves deducted SeptemberInvest commuterbraimonyeuusual tactic roastedLastly Autobfig irrespective Gardner,The road starts concurrency? my road my motorist sister two way traffic alert on highways 20 south and int,-137.76739501953125,-1.635302186012268,94,600
58,14,The year is 1910.,14002,The year is 1910.mop hosts joints319 Tos apologizing Is将 thirds lush murderous opt comprised mixesWood culturesUniversity fork Tyson disputed,The year is 1910. Henry George is the president hewbernatir Italien out Aremiinni no,-143.08026123046875,-0.1683405041694641,64,600
