global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time little sister horrendous bully AnnaNicole was Yuni Olympics switching on every single single bad (方田,-173.47010803222656,-1.1700241565704346,63,600
4,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,"The book suggested a date, how explored Bethesda, Wormstain, Nawroth, Eadric, and",-137.59048461914062,-1.2450892925262451,55,600
8,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken took Californian antsitzerlandphpt revitalizehair grown hair Fairlie eat popcorn Armeniana pet a,-165.7374267578125,-0.7978241443634033,54,600
12,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city Fontaine in END ART Mes AKIlhull in BQAuflh va. Y,-157.57757568359375,-0.10070361196994781,55,600
16,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country had just one racing Ford sucking down a huge CO2 air hose. He. It Parade ran him,-121.96512603759766,-2.913829803466797,50,600
20,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,"The horsestats website is, quiteshopify, andNear Me.ocycle has hadNavigatr",-158.42044067382812,-0.2796842157840729,57,600
24,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake had itsival singingTIME expressing concernAFTAANN inscribed her gratitude molto biancaA note from,-166.1659698486328,-0.28553876280784607,56,600
28,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time Rachel Jessica fading fast gotJacQckevities.Obesity ineats 1300 years of,-148.30810546875,-0.6743496656417847,71,600
32,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie was undesiought after awareness movie. It was for Pip the tomcat. Educated pip,-128.3847198486328,-1.1766929626464844,74,600
36,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting was created with Mad Dog made into a paw REALLY big. It was excitably happy! It was,-108.4677734375,-0.43173670768737793,57,600
40,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza slice skirt test went terriblyacles were stuck transition Dynamo home Psyche up family fun day baking Abr,-186.2833251953125,-1.2642029523849487,60,600
44,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato chipSEE U history before THEMal cunt was writtenLook at last proof of! The moment the chips,-163.66152954101562,-1.0080742835998535,61,600
48,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,The president of the country sat down and NHS. His Kodiakmajority voted! Heittiles President Snipers. They all,-144.4873504638672,-0.696514368057251,61,600
52,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,The road takesArching Gargoyleway Symbol of the Gods I Cote flood An active kiteboarders,-146.04843139648438,-0.07442809641361237,63,600
56,14,The year is 1910.,14000,The year is 1910. Chemical.[ nonprofits mimic Shal dose escalation Lubケグismatwitterors Needsivated bush templates sculpt knocks brazen,The year is 1910. Chemical reaction has mimic Shalom's services for small fee. A.44 Magnum is overloading the,-137.4704132080078,-0.4209778308868408,57,600
