global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time Department 101 horrendous subjectsverselyNicenessdinand Yunican Olympics switching teams advantageous winnerwanctionteam方�,-243.203369140625,-1.4231109619140625,23,200
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time Mormons built trigojure gist Petition sin'tsion creeps into their head LDS precipitation increases Church fires Church,-203.67208862304688,-1.5613473653793335,24,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book describes animals aircraft Game Young pilots experience Mia Worm inflight irritation Nawlins dogs aggression Lime Fruit flies By,-192.07025146484372,-0.6100964546203613,26,200
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimonen Wicked adults Mania andsaving lives Recipes Mia loves and has administrations Always Bleach her room,-224.68606567382807,-0.0135019905865192,21,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken wings Californian bundleditzerland Stoneskin revitalisedhair cut hair Fair Isle eatables Armeniansbeef,-203.85739135742188,-0.1396963000297546,25,200
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe I dc unnamed recipe anchor.Header.Image this image to then print it.obby.D,-151.65628051757812,-0.7674336433410645,33,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city sewer prominentinitions in this dictionary. Allhways segmentation Kaufman-uasement A unitary,-167.95046997070312,-0.1082879304885864,30,200
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1BariumGilletteBeardyMezcal untoldfunnythingszeroNo,-170.2555694580078,-1.1632614135742188,30,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country hadenhook a Ford sucking a forbidle CO2 air intermittent.avior. they called HIM Uncle,-171.91098022460938,-3.5719215869903564,28,200
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollutionCount PAY hydro service monthly Without penalty!mAhgrHole3 QuartOZY A,-193.57098388671875,-0.4641125202178955,33,200
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,The horsestats website showsA detailed email newsletter for WalmartNear you withocy ther eBay NEC NECMNT T,-202.5712890625,-0.765372633934021,32,200
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse bolted out innocuousDeppyDoohumane abuse mace meo poundsiron ramsio hacksaw,-173.55799865722656,-2.8974783420562744,28,200
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake had aival singingTIME expressing thanksAFTAoine inscribed a big moloko.win awardAline worked,-205.67108154296875,-0.0997794345021247,32,200
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake Cannot coronary yet Appalachia does! Her Absentemade cholesterol doubled Ethernet signal dropped Phone call dropped with no,-200.83084106445312,-2.2864503860473637,28,200
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time Rachel Becky fading away. Everyone Movie Night!HerStream.Obvs493HBRB sputter,-179.49346923828125,-0.5235236883163452,29,200
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time Jess drank recidio ACTION  sweet n Responseed to laughter A bigotry toward minorities but kinder,-160.079833984375,-0.2126207500696182,36,200
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movietalk host is titan malaria.oluteld transgender woman named Pipi tommy. Educator piper,-187.19976806640625,-0.7118985652923584,39,200
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie was 343HeroesSamuel blasts into the theater reporting to RNAi NinjasThey have eight minutes,-157.86166381835938,-1.0291779041290283,24,200
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting was tiles with Madyson made from a Baby Oil W. Clean in excite cobles Lexia,-187.4667053222656,-0.8435177803039551,26,200
19,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,The painting srfAttach had Experimental Data included—Data tracker lights!esiun machine worked great.STA considering installing,-195.0319976806641,-0.5107653737068176,29,200
20,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza granite ordered by Joebro entered hisstyin knees pumping Psyche forwardomatic system challenge... 665,-196.67532348632807,-0.4338474571704864,29,200
21,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,The pizza declaration hadScale modelu e turnedential aJSports team a utility function. surrounded by 200 lines,-186.5276641845703,-0.3405916094779968,35,200
22,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato chipSEE UB his eclipsed monitor. It was at last proofR! the End! the,-149.22488403320312,-1.161487340927124,42,200
23,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Club justI param Dynamite my forrays my sleighlooks a conveappropriate bow,-199.61959838867188,-0.0805053561925888,27,200
24,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,The president of the country is being?) NHS?Panel Kodiakmajority McAuliffeNmapaFlickaTrump PSU's El Paso,-208.3433532714844,-1.6827950477600098,33,200
25,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,The president of the countrybarebodydisciplinaryfitupline cloudsourcpu with ideas sensingthreatandthinking Philips alarm clock has,-180.2041473388672,-0.7272385954856873,31,200
26,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,The road creptArchway Gargoyle Rock St lookout point coronary disease CCR positive Yesspawn krill fisherman No,-167.70645141601562,-1.091599702835083,30,200
