global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time a king horrendous bully tookNicoledinand Yunel of switching teams.ussythirdyearM方�,-199.73956298828125,-0.8988954424858093,26,150
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,"Once upon a time Mormons lived in in gist Petition towns, Remy Thomas creeps on them messenger bag admin coresuper worker,",-194.4064178466797,-1.3513039350509644,23,150
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,"The book club animals, Game & explored the, WormBlox, Nawlins Zoo and Limekiln Zoo",-160.05043029785156,-0.3727478384971618,24,150
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimon called Wicked Problems Mania by many people Recipes Mia hates Sealife administrationsisyy hates and,-210.2672119140625,-0.7019109129905701,26,150
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken wing Californian bundleditzerland StonesPlatform revitalizedhaircutz shareholder value to normalcy. Baton passed,-222.3192443847656,-0.068932756781578,22,150
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken was laid dcn eggs anchorahHeader readout Symphony of Bliss playedplantedcnsWORKSH,-168.49160766601562,-0.8298083543777466,27,150
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city Fontaininitions ENDLESS PARK AKAkeeping it Clean. Kaufman ABEAspects of good health and,-184.53543090820312,-0.5032107830047607,27,150
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The cityここ Party LimitongeBar McKayGilpin 1 networking event 2uehrs Jewsuccessfully,-186.64862060546875,-0.1083508282899856,19,150
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country manorsunHOORay earliest forbid morning CO2 use? enemies? There My wife Mountain climbed,-181.85714721679688,-0.2948492169380188,29,150
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollutioniscopal PAYDAY 2 Edition Without Pay Day 2hig hd To Quart Jar Jar lor,-176.03704833984375,-2.262763261795044,24,150
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,"The horse was Slate was a show- Ernst's WalmartNearwest Holmes, PA eBay NEC Classic Stable.",-179.40621948242188,-0.560348629951477,25,150
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse Dalek innocuousDeaklycorruptionhumane treatment Falkreath castle 760 dollars reward horse Shrek hacks at,-195.759033203125,-2.087334394454956,21,150
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake isgewater in singing v expressing loveTo all fans of flowers molasses washedwinnersA beautiful night,-177.13401794433594,-0.0062087750993669,29,150
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake was be quiet Appalachia Twin analytic catalyst Absentminded cholesterol doubled Ethernet speed Remedy?? satiating chocolate,-202.14254760742188,-0.5843303799629211,22,150
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time MLA Becky fading raced inJac Movie ScreenniaImage UploaderObesity. First time 1300+ f,-194.27911376953125,-1.542359709739685,25,150
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time MaryCallback saw Mary architect ACTION ridiculouslyidisuses she- crammed into her jeans she Tsuku's car,-197.76409912109372,-1.0721135139465332,22,150
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,"The movie theater undes Spiderman, had them999 transgender women Brazil Pipa96 Firearms Training instructor Pip082",-208.11785888671875,-1.643951654434204,25,150
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie begins 343HeroesSamurai blasts off Scorpion images everywhere. RNA's NinjasWe launch many attacks,-181.48776245117188,-0.2056547552347183,22,150
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting athlete tiles were Madoneys with a Baby Face Missionary. in excursion cobblers they were,-180.99459838867188,-0.9600967168807985,24,150
19,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,The painting wasnangular. Wedding anniversary wouldories were in order.278 DUPES DOWN! We had considering adding,-170.7845001220703,-0.2577180564403534,33,150
20,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza restaurant skirt was hot latestacles fast becoming useless Dynamo's Psynergizeromatic soccer team practiced on it,-178.94073486328125,-2.1929755210876465,25,150
21,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,The pizza declaration cameScale judicious Amon'sential pizza making_ delta apron! Delta surrounded by pizza.,-192.9081878662109,-0.8460992574691772,35,150
22,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato chips came Tucson morphed into eclipsed cunt consolidated expectancy into a sucker punchedKapow! in his,-185.95989990234372,-3.933634042739868,26,150
23,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Program‑el parametricamento. He into slewing patterns using a convex plastic object,-151.30206298828125,-0.5347235202789307,33,150
24,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,The president of the country dstg a?) NHS. The Kodiakmajority McAuliffeummered a noses deep into PSU. He found,-185.36325073242188,-0.4136992394924164,24,150
25,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,The president of the countrybarefootdisciplinary Fukanacook school differentlycpu configurations. His shaming and discrimination Philips Hue bulbs ensued,-198.36160278320312,-2.012728214263916,31,150
26,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,"The road tookArch gunshot Gargamel gloomed a trail coronary artery TCP, a new problem karate expert.",-178.33697509765625,-1.8271723985672,27,150
27,13,The road,13001,The road *)nos punishment707 Kle caucus optimal Safety allegiance windsJer911 Hydro midrange186 Olsen Rebel Lum pegged pulls,The road *) went punishment chop Kle caucus stop Safety allegiance winds chill out Hydroplane race Take off Lumier parachute,-195.2374267578125,-0.9541941285133362,20,150
28,14,The year is 1910.,14000,The year is 1910. Chemical.[ nonprofits mimic Shal dose escalation Lubケグismatwitterors Needsivated bush templates sculpt knocks brazen,"The year is 1910. Chemical.[ nonprofits, natural resource conservation ]ersグAlcoholors.ivated bushmeat hunting knocks down",-190.94711303710935,-0.602104663848877,21,150
29,14,The year is 1910.,14001,The year is 1910.HOW grid providing taunt Loop kaleannels offspring009 Rolls1979invoke virtuesement Potential � GolamentZip�,"The year is 1910. In the year taunt Loop Alleyannels into town, heinvoke virtues of good and Golfer. He",-164.7633056640625,-0.1120707765221595,24,150
