global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,"Once upon a time—ah, the pastNicotine level was light Upon changing brands, I noticed a rise in the",-91.63609313964844,-1.6609236001968384,146,600
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,"Once upon a time everything ran on ancient technology like xeons and stones. These technologies also had flaws like disease,",-92.36875915527344,-2.0917763710021973,132,600
2,0,Once upon a time,2,Once upon a time Silva/**ificationsorganized schematic tsunami assassination beneficiary prejud timidleaf Gamma DoctrineMore imper intestinalillyexistence DDLaun,Once upon a time children wrote real letter All sizes were appealing my young self I loved Home Run Ball My name is Ryan,-128.58961486816406,-0.0527164191007614,141,600
3,0,Once upon a time,3,Once upon a time Type major convertedWinner Chest Intent eatsmay viewer consciously Lustherence NAACPird Steve tendediance occupational revsql,"Once upon a time, a duke sent his d lettered follo fhurch his war-pedals.",-89.76848602294922,-0.5528359413146973,127,600
4,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book describes an apocalypse Game changing ideas with physics Bwahahaha Naughty voice actor! Fines me,-123.71491241455078,-1.1233597993850708,127,600
5,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book's writer's ianogical exercise folloed too much rea- lyst. He decided,-110.07583618164062,-3.0899081230163574,153,600
6,1,The book,1002,The bookコften limbs龍喚士 Del representativeyrusmouseselectsmith stolen verbscow Sodiumord advising hormone Bun togetherranging,"The bookコラビリーズ! by my kids words mean Star Wars, Hideo. I read",-98.50794219970705,-0.039423082023859,133,600
7,1,The book,1003,The bookogieurqt misled immersed hospitalityoops declaringÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂup fatigue Eagles Eithermachinethood Jazeeraworm conflicts vettingerr,"The bookish set saw an opening in market. Sowday had come, marking the season for fruit.",-93.54910278320312,-0.4299008250236511,110,600
8,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken fried pan ture ate right eyes opened eyes smiled mouth opened a muscle mass increased called big body.,-107.3397216796875,-0.1453781872987747,150,600
9,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe for Eats well In hhaege. Comes in an email from a new customer.,-89.46348571777344,-0.0691514834761619,105,600
10,2,The chicken,2002,The chicken statistical quotations CenturyJam gentle hoaxconnected incarn strategyNon erroneiman antiquityplus Historic IncreasingGovern invest turbulence vide,The chicken statistical significance of 1 was not very big if I did the math right. 100 points is what I,-89.08657836914062,-3.1954047679901123,139,600
11,2,The chicken,2003,The chicken limestone Takes testamentaosaughtered Honolulu SterTwe PierreQueenomet projectsAffeast affect incre loved roundup accessing Possible,The chicken furtileith-  Sterile hen- s brushed their claws on the fresh chicken waste.,-98.61087036132812,-0.9358877539634703,106,600
12,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city hall palaces were proud alliances formedA council expressed their desire to mergeTheir leader stated his wishA,-117.33519744873048,-0.0177830122411251,115,600
13,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city didnThem not fix the street corner. Some guySaiIn chased Him. When He turned,-103.05902862548828,-1.389944076538086,140,600
14,3,The city,3002,The city604 halls setting Donaldcephal Sue Processor Nationwideunctions 342 endpoint appraisal beverage brim Syndicatealsh LD Wrapsta floated,"The city hall building hosted its annual "" and ""All is holding its breath. At quarter to 4, a",-83.66525268554688,-0.3529776334762573,123,600
