prompt_idx,target_label,gamma,arm,judged_label,hit_target,clf_self_label,span_nll,mean_eligible,frac_le1_eligible,text
4,1,-1,realtext,1,1,1,,,,you don't have to know about music to appreciate the film's easygoing blend of comedy and romance.
4,0,2.0,unguided,1,0,0,5.35902738571167,,,you don't have to know about music to be musical-- even if you don't know about music  Audio  1 11 1
4,0,2.0,guided,0,1,0,6.959170818328857,29.976,0.0189,"you don't have to know about music to understand that, no, you don’t need any number of other forms of understanding that to"
4,1,2.0,unguided,1,1,0,5.35902738571167,,,you don't have to know about music to be musical-- even if you don't know about music  Audio  1 11 1
4,1,2.0,guided,0,0,1,7.104762554168701,30.3399,0.0,you don't have to know about music to play music you t if you don't listen to music about music music y y y n s y
4,0,4.0,unguided,1,0,0,5.35902738571167,,,you don't have to know about music to be musical-- even if you don't know about music  Audio  1 11 1
4,0,4.0,guided,1,0,0,6.503030300140381,30.3534,0.0,you don't have to know about music to understand u you t u t don't r t t t t t t t t n t t
4,1,4.0,unguided,1,1,0,5.35902738571167,,,you don't have to know about music to be musical-- even if you don't know about music  Audio  1 11 1
4,1,4.0,guided,1,1,1,9.543417930603027,32.0,0.0,you don't have to know about music to listen music you in to music is and listen at music about to be and music music. music music
13,1,-1,realtext,1,1,1,,,,"audrey tatou has a knack for picking roles that magnify her outrageous charm, and in this literate french comedy, she's as morning-glory exuberant as she was in"
13,0,2.0,unguided,1,0,0,6.5438079833984375,,,"audrey tatou has a knack for picking his targets, he doesn't introduce you to fool you. There is no such thing as conjlection"
13,0,2.0,guided,1,0,0,7.619797706604004,28.5097,0.0169,"audrey tatou has a knack for picking up at's bit of an act,audrey tatou would probably him serve as it comes"
13,1,2.0,unguided,1,1,0,6.5438079833984375,,,"audrey tatou has a knack for picking his targets, he doesn't introduce you to fool you. There is no such thing as conjlection"
13,1,2.0,guided,1,1,1,6.302765369415283,28.4371,0.0193,audrey tatou has a knack for picking up an unexpected bit of an actcaudrey tatou can be as good as it comes
13,0,4.0,unguided,1,0,0,6.5438079833984375,,,"audrey tatou has a knack for picking his targets, he doesn't introduce you to fool you. There is no such thing as conjlection"
13,0,4.0,guided,1,0,0,5.040920734405518,27.2324,0.0103,audrey tatou has a knack for picking up people with bit of anointedcaudrey tatou has a knack for picking it up
13,1,4.0,unguided,1,1,0,6.5438079833984375,,,"audrey tatou has a knack for picking his targets, he doesn't introduce you to fool you. There is no such thing as conjlection"
13,1,4.0,guided,1,1,0,5.50145959854126,27.2429,0.0103,audrey tatou has a knack for picking up people with bit of an effortvilaudrey tatou has a knack for picking it up
22,0,-1,realtext,0,1,0,,,,"it's a cookie-cutter movie, a cut-and-paste job."
22,0,2.0,unguided,0,1,0,6.383456707000732,,,"it's a cookie-cutter movie, same that's where the movies come out, the same majority of them come out of the same industries"
22,0,2.0,guided,0,1,0,3.2393829822540283,30.9722,0.0099,"it's a cookie-cutter movie, its story is the same as the rest of the movie. This is the movie, its plot is"
22,1,2.0,unguided,0,0,0,6.383456707000732,,,"it's a cookie-cutter movie, same that's where the movies come out, the same majority of them come out of the same industries"
22,1,2.0,guided,0,0,0,6.215470314025879,24.9051,0.0287,"it's a cookie-cutter movie, hitit,s a cookie- cut -ter movie, hitit,s"
22,0,4.0,unguided,0,1,0,6.383456707000732,,,"it's a cookie-cutter movie, same that's where the movies come out, the same majority of them come out of the same industries"
22,0,4.0,guided,1,0,0,4.600448131561279,26.5364,0.0597,"it's a cookie-cutter movie,  it's a cookie cutcutter movie, cookieitit's a cookie cut"
22,1,4.0,unguided,0,0,0,6.383456707000732,,,"it's a cookie-cutter movie, same that's where the movies come out, the same majority of them come out of the same industries"
22,1,4.0,guided,1,1,0,4.343846797943115,26.4515,0.066,"it's a cookie-cutter movie,  it's a cookie cut cutter movie, cut-it's a cookie cut"
31,1,-1,realtext,1,1,1,,,,"escaping the studio, piccoli is warmly affecting and so is this adroitly minimalist movie."
31,0,2.0,unguided,0,1,0,7.2650465965271,,,"escaping the studio, piccoli is warm and is flirting with when friends, Dogo is playful and does not want to stifle the"
31,0,2.0,guided,0,1,0,2.084521532058716,19.1837,0.1321,"escaping the studio, piccoli is warm and unescaping the studio, piccoli is warm and unescaping the studio, pic"
31,1,2.0,unguided,0,0,0,7.2650465965271,,,"escaping the studio, piccoli is warm and is flirting with when friends, Dogo is playful and does not want to stifle the"
31,1,2.0,guided,1,1,1,4.594859600067139,19.0841,0.0988,"escaping the studio, piccoli is warm and beautiful outside of the studio, piccoli is warm and beautiful from high in the studio,"
31,0,4.0,unguided,0,1,0,7.2650465965271,,,"escaping the studio, piccoli is warm and is flirting with when friends, Dogo is playful and does not want to stifle the"
31,0,4.0,guided,0,1,1,6.312230587005615,23.5898,0.0674,"escaping the studio, piccoli is warm, and toaping the studio, piccoli is warm to theescaping the studio, pic"
31,1,4.0,unguided,0,0,0,7.2650465965271,,,"escaping the studio, piccoli is warm and is flirting with when friends, Dogo is playful and does not want to stifle the"
