global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time Mormons owned trig kinesis sin by Remy. creeps in church and state alike. Forestry employees would,-176.9390869140625,-1.4410343170166016,34,200
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,"The book club transfed the Wicked Eyes through cures to readers. Mia loved Sealand, specifically. She read",-160.3345184326172,-0.07443639636039734,30,200
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe finest dc unnamed shop around.Header8751 Wingtips7.MoweredbyChicken.D,-184.05877685546875,-0.30941832065582275,26,200
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The cityこs Party Limitonge time2go    the networkingSENSU Party! Jewshoeven invited,-191.0626983642578,-0.022300776094198227,30,200
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPolluteiscopal PAYBACK.com Without Insurance TomAhaHandyUTC The Device TopokeFun,-195.4188232421875,-3.0031380653381348,34,200
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse Dalek innocuous enough Henriécorruptionbad Horse Falkusque big gals. Horse and hacksaw,-197.2417755126953,-2.9241344928741455,21,200
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake Cannot coronary lake Appalachia Twin springs catalyst Forcing cholesterol triple within minutes foodsredit foods Caloriesigns,-201.33920288085938,-0.8769161105155945,29,200
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time KatieCallback saw Knights architect Greg ridiculously oversized he Response wildlife Photographerbuf page loaded automatically Tsu cause jelly all,-225.6990509033203,-0.9833849668502808,32,200
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie theater 343HeroesSam was blastsaved ScorpionC. It took several and various. lots. of,-169.1842041015625,-1.3370857238769531,25,200
19,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,The painting was fell Experimental wasoo-ni were making rumori. DUPE wasooN were considering suing,-171.37484741210938,-1.6812021732330322,47,200
21,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,The pizza declaration went out judication Amon's eyes poppedJSonz delta the wings declared war surrounded by fire Anton,-180.6285400390625,-0.4549325704574585,40,200
23,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Program‑end parametres. Theyrays you sleeth. Sawyer collectsappropriated potatoes,-172.33773803710938,-0.017519133165478706,34,200
25,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,The president of the countrybarefootfoot Fukanacare yoga sessions. nonsensical questions sensing danger. he sought NDM training,-172.5498046875,-1.7997524738311768,34,200
27,13,The road,13001,The road *)nos punishment707 Kle caucus optimal Safety allegiance windsJer911 Hydro midrange186 Olsen Rebel Lum pegged pulls,The road tonos punishment707 Kleio optimal Safety Net windsbags687 Nicole bad186 Aeris Lumina fine,-210.68692016601562,-1.3829646110534668,32,200
29,14,The year is 1910.,14001,The year is 1910.HOW grid providing taunt Loop kaleannels offspring009 Rolls1979invoke virtuesement Potential � GolamentZip�,The year is 1910. A new providing method Loop kaleannels.00928339800000ementalize Golbowjoy.,-201.51409912109375,-0.8628584146499634,29,200
