global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,"Once upon a time.. well well, several a mych dearie were switching teams, y Her Majesty Queen Ruby.",-150.39065551757812,-0.1546887904405594,76,600
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time very here. very now backtrace. a program started again. no panic apluses! The,-125.32971954345705,-0.4503203332424164,76,600
2,0,Once upon a time,2,Once upon a time Silva/**ificationsorganized schematic tsunami assassination beneficiary prejud timidleaf Gamma DoctrineMore imper intestinalillyexistence DDLaun,"Once upon a time there were actually a communities violence against members information about the local lawMore now,but very different back",-146.52093505859375,-0.2936654090881347,72,600
3,0,Once upon a time,3,Once upon a time Type major convertedWinner Chest Intent eatsmay viewer consciously Lustherence NAACPird Steve tendediance occupational revsql,Once upon a time Type I converted perfectly of the Attinga looser. After many play fronner it de,-143.83346557617188,-0.0923321470618248,85,600
4,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,"The book deals with death Game Play Highlights Interesting, butBlades Creed 3rds took 2 weeks? That",-145.67999267578125,-1.2074699401855469,63,600
5,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The bookish nerd Ienzo took in cures blindness. The eye problems would to thisday only last minute,-141.30384826660156,-0.745940089225769,76,600
6,1,The book,1002,The bookコften limbs龍喚士 Del representativeyrusmouseselectsmith stolen verbscow Sodiumord advising hormone Bun togetherranging,"The bookコニカ龍喚士.book department sent as special gift the book titled ""Livingston of Detroit"".",-134.82846069335938,-0.0183074008673429,60,600
7,1,The book,1003,The bookogieurqt misled immersed hospitalityoops declaringÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂup fatigue Eagles Eithermachinethood Jazeeraworm conflicts vettingerr,The book's conclusion detailed her return in. She swimmy returned. In prune green isobain,-146.0648651123047,-0.2694184780120849,90,600
8,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken pozil walked completey Free on campus2 years old0caret watchnumber oneThe one,-152.7667999267578,-0.9341005086898804,60,600
9,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken arrived tomorrowhsome part deezies! Daye loved poultry even morethen he had gout,-118.69906616210938,-0.7972508668899536,65,600
10,2,The chicken,2002,The chicken statistical quotations CenturyJam gentle hoaxconnected incarn strategyNon erroneiman antiquityplus Historic IncreasingGovern invest turbulence vide,The chicken statistical modeling technique of modeling events Download ePub Download erroneoughtly.te is a cracked open textbook,-149.90113830566406,-2.2233006954193115,78,600
