global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
1,0,Once upon a time,1,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
2,0,Once upon a time,2,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
3,0,Once upon a time,3,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
4,1,The book,1000,The book,The book was about a boy who wanted to be a lawyer. He went to college for law school. After,-15.650213241577148,-1.7273781299591064,0,300
5,1,The book,1001,The book,The book was about a boy who wanted to be a lawyer. He went to college for law school. After,-15.650213241577148,-1.7273781299591064,0,300
6,1,The book,1002,The book,The book was about a boy who wanted to be a lawyer. He went to college for law school. After,-15.650213241577148,-1.7273781299591064,0,300
7,1,The book,1003,The book,The book was about a boy who wanted to be a lawyer. He went to college for law school. After,-15.650213241577148,-1.7273781299591064,0,300
8,2,The chicken,2000,The chicken,The chicken was ready to be cooked. It was time to put it in the oven. The chicken was done,-19.73670959472656,-1.186270236968994,0,300
9,2,The chicken,2001,The chicken,The chicken was ready to be cooked. It was time to put it in the oven. The chicken was done,-19.73670959472656,-1.186270236968994,0,300
10,2,The chicken,2002,The chicken,The chicken was ready to be cooked. It was time to put it in the oven. The chicken was done,-19.73670959472656,-1.186270236968994,0,300
11,2,The chicken,2003,The chicken,The chicken was ready to be cooked. It was time to put it in the oven. The chicken was done,-19.73670959472656,-1.186270236968994,0,300
12,3,The city,3000,The city,The city was on the edge of a major water main break. The water main was only a few feet from,-21.15302276611328,-2.0771563053131104,0,300
13,3,The city,3001,The city,The city was on the edge of a major water main break. The water main was only a few feet from,-21.15302276611328,-2.0771563053131104,0,300
14,3,The city,3002,The city,The city was on the edge of a major water main break. The water main was only a few feet from,-21.15302276611328,-2.0771563053131104,0,300
15,3,The city,3003,The city,The city was on the edge of a major water main break. The water main was only a few feet from,-21.15302276611328,-2.0771563053131104,0,300
16,4,The country,4000,The country,The country was in the middle of a severe drought. The people were desperate for water. They turned to the,-21.68718719482422,-1.6362296342849731,0,300
17,4,The country,4001,The country,The country was in the middle of a severe drought. The people were desperate for water. They turned to the,-21.68718719482422,-1.6362296342849731,0,300
18,4,The country,4002,The country,The country was in the middle of a severe drought. The people were desperate for water. They turned to the,-21.68718719482422,-1.6362296342849731,0,300
19,4,The country,4003,The country,The country was in the middle of a severe drought. The people were desperate for water. They turned to the,-21.68718719482422,-1.6362296342849731,0,300
