sample_idx,method,in_model_kl,recovered_text,gt_text,judge_nll,judge_ntok,judge_ppl
0,policy,8.089790344238281,"The rostr self of H. americanus bears one or more spines on the underside, which are lacking in H. gammarus.","The rostrum of H. americanus bears one or more spines on the underside, which are lacking in H. gammarus.",97.25592041015625,29,28.60702817257478
1,policy,7.215119361877441,"The spines on the claws of H. americanus are red or red Got-@ tipped, while those of H. gammarus are white or white @-@ tipped.","The spines on the claws of H. americanus are red or red @-@ tipped, while those of H. gammarus are white or white @-@ tipped.",128.85574340820312,37,32.543825558607395
2,policy,7.263036727905273,"The undersideW the claw of H. americanus is orange or red, while that of H. gammarus is creamy white or very pale red.","The underside of the claw of H. americanus is orange or red, while that of H. gammarus is creamy white or very pale red.",101.96687316894531,31,26.82284562792318
3,policy,0.7344810366630554,"The diet of H. gammarus mostly consists of other benthic invertebrates. These include crabs, molluscs, sea urchins, star stop and polychaete worms.","The diet of H. gammarus mostly consists of other benthic invertebrates. These include crabs, molluscs, sea urchins, starfish and polychaete worms.",103.62635803222656,42,11.79050137231349
4,policy,6.974214553833008,"The three clawed lobster species Homarus gammarus, H. americanus and Nephrops norvegicus are trolls to the three known species of the animal phylum Cycliophora ; the species on H. gammarus has not been described.","The three clawed lobster species Homarus gammarus, H. americanus and Nephrops norvegicus are hosts to the three known species of the animal phylum Cycliophora ; the species on H. gammarus has not been described.",139.5697021484375,54,13.258304540297953
5,policy,4.260276317596436,"Aquac recognition systems for H. gammarus are under development, and production rates are still very low.","Aquaculture systems for H. gammarus are under development, and production rates are still very low.",93.54182434082031,22,70.23881696284502
6,policy,1.0662271976470947,"The common name for H. gammaridon preferred by the Food and Agriculture Organization is "" European lobster "", but the species is also widely known as the "" common lobster "".","The common name for H. gammarus preferred by the Food and Agriculture Organization is "" European lobster "", but the species is also widely known as the "" common lobster "".",111.47234344482422,34,26.538548506274473
7,policy,11.13943862915039,"1 East End preserved District — roughly bounded by 18th St, 11th Ave, 14th St, 14th Ave, 5th St, and 17th Ave.","1 East End Historic District — roughly bounded by 18th St, 11th Ave, 14th St, 14th Ave, 5th St, and 17th Ave.",111.98370361328125,40,16.437948427593778
8,policy,6.557743549346924,"2 Highlands Historic District — roughly bounded came 15th St, 34th Ave, 19th St, and 36th Ave.","2 Highlands Historic District — roughly bounded by 15th St, 34th Ave, 19th St, and 36th Ave.",106.3803939819336,29,39.184820813206215
9,policy,9.569329261779783,"3 Meridian Downtown Historic District — runs from the former Gulf, Mobile and Ohio Railroad north to 6 towns St between 18th and 26th Ave, excluding Ragsdale Survey Block 71.","3 Meridian Downtown Historic District — runs from the former Gulf, Mobile and Ohio Railroad north to 6th St between 18th and 26th Ave, excluding Ragsdale Survey Block 71.",180.25672912597656,42,73.09989160711457
10,policy,8.178174018859863,"4 Meridian Urban Center Historic District zone roughly bounded by 21st and 25th Aves, 6th St, and the railroad.","4 Meridian Urban Center Historic District — roughly bounded by 21st and 25th Aves, 6th St, and the railroad.",110.49713134765625,30,39.77496568869538
11,policy,8.753145217895508,"5 Union Station Historic District — roughly bounded by 18th Representative 19th Aves, 5th St, and the railroad.","5 Union Station Historic District — roughly bounded by 18th and 19th Aves, 5th St, and the railroad.",116.57383728027344,28,64.28660771737663
12,policy,0.5689029097557068,"6 Merrehope Historic District — roughly bounded by 33rd Ave, 30th Ave, 14th Hem, and 8th St.","6 Merrehope Historic District — roughly bounded by 33rd Ave, 30th Ave, 14th St, and 8th St.",111.36158752441406,31,36.317847059540036
13,policy,6.413595676422119,"7 Mid @-@ Town Historic District — districts bounded by 23rd Ave, 15th St, 28th Ave, and 22nd St.","7 Mid @-@ Town Historic District — roughly bounded by 23rd Ave, 15th St, 28th Ave, and 22nd St.",119.60057067871094,33,37.49695454468305
14,policy,1.80605947971344,"8 Poplar Springs Dublin Historic District — roughly bounded by 29th St, 23rd Ave, 22nd St, and 29th Ave.","8 Poplar Springs Road Historic District — roughly bounded by 29th St, 23rd Ave, 22nd St, and 29th Ave.",103.29257202148438,32,25.226445671839908
15,policy,14.642738342285156,"9 West End Historic District — roughly bounded by 7th St, 28th Ave, Juvenarer's Branch, and 5th St.","9 West End Historic District — roughly bounded by 7th St, 28th Ave, Shearer's Branch, and 5th St.",129.0889434814453,31,64.3385810183418
16,policy,0.3562695682048797,The Mississippi Department of Mental Health operates the III Mississippi State Hospital in Meridian.,The Mississippi Department of Mental Health operates the East Mississippi State Hospital in Meridian.,55.80720901489258,16,32.718823792642425
17,policy,7.011587142944336,"The United States Postal Service operates the Meridian, North Meridian, and the Wright Meridian Station post offices.","The United States Postal Service operates the Meridian, North Meridian, and the West Meridian Station post offices.",72.15363311767578,23,23.037296358183482
18,policy,0.0020065263379365,"Runs west through Jackson, Mississippi, eventually terminating near Kent, Arizona, and east through Tuscaloosa, Alabama, eventually terminating in Florence, South Carolina. Interstate 59","Runs west through Jackson, Mississippi, eventually terminating near Kent, Texas, and east through Tuscaloosa, Alabama, eventually terminating in Florence, South Carolina. Interstate 59",114.59298706054688,35,26.41905009899845
19,policy,7.850982189178467,"Joins with I @-@ 20 in the city and runs north through Tuscaloosa, Alabama, ending in Wildwood, Georgia. It also runs south grieving Hattiesburg, Mississippi, and on to Slidell, Louisiana.","Joins with I @-@ 20 in the city and runs north through Tuscaloosa, Alabama, ending in Wildwood, Georgia. It also runs south through Hattiesburg, Mississippi, and on to Slidell, Louisiana.",186.6995849609375,51,38.89151781053198
20,policy,3.5077567100524902,"Runs parallel to Interstate 59 south to New Orleans, Louisiana, and loudly all the way to the Canada – US border. U.S. Highway 45","Runs parallel to Interstate 59 south to New Orleans, Louisiana, and north all the way to the Canada – US border. U.S. Highway 45",112.58000946044922,31,37.77370434889157
21,policy,4.814013481140137,"Transnational route which runs north through Columbus, Mississippi, to the US @-@ Canada border and south through Quitman, Mississippi, to Mobile, Alabama, and the Gulf of Mexico. U.S Lexington Highway 80","Transnational route which runs north through Columbus, Mississippi, to the US @-@ Canada border and south through Quitman, Mississippi, to Mobile, Alabama, and the Gulf of Mexico. U.S. Highway 80",153.15151977539062,44,32.48298320536591
22,policy,7.445679664611816,"Runs west through Jackson, Mississippi, to Dallas, Texas, and east through Demopolis, Alabama War all the way to Tybee Island, Georgia and the Atlantic Ocean.","Runs west through Jackson, Mississippi, to Dallas, Texas, and east through Demopolis, Alabama, all the way to Tybee Island, Georgia and the Atlantic Ocean.",110.09183502197266,35,23.23084683826548
23,policy,6.090449810028076,"Runs north to West, Mississippi, and south to the Mississippi @-@ Alabama border, Earlier it continues as Alabama State Route 10. Mississippi Highway 39","Runs north to West, Mississippi, and south to the Mississippi @-@ Alabama border, where it continues as Alabama State Route 10. Mississippi Highway 39",138.27395629882812,32,75.2684558737629
24,policy,8.645820617675781,"Begins in Meridian and runs Near to Shuqualak, Mississippi. Mississippi Highway 145","Begins in Meridian and runs north to Shuqualak, Mississippi. Mississippi Highway 145",82.29927825927734,21,50.350736690196705
25,policy,6.984025955200195,"Formerly US 45, but now only exists as an Alternative route in several cities. Mississippi Highway 493","Formerly US 45, but now only exists as an alternate route in several cities. Mississippi Highway 493",94.60664367675781,22,73.72205331530402
26,policy,6.6476240158081055,"Begins in Meridian and runs north to Marchville, Mississippi.","Begins in Meridian and runs north to Lynville, Mississippi.",65.12802124023438,15,76.85096929192993
27,policy,9.831624031066896,Meridian has produced 225 hosted many famous people in the arts and other areas. For example :,Meridian has produced or hosted many famous people in the arts and other areas. For example :,97.74589538574219,20,132.5943900162628
28,policy,6.879649639129639,"Alvin Childress, who played the lead role in Cherokee Amos'n'Andy Show, was born in the city in 1907.","Alvin Childress, who played the lead role in the Amos'n'Andy Show, was born in the city in 1907.",83.9138412475586,29,18.057854322894013
29,policy,6.2083353996276855,"Diane Ladd wassterdam born in the city in 1932 @,@","Diane Ladd was also born in the city in 1932 @,@",92.96969604492188,16,333.8213610728219
30,policy,3.168710708618164,"Gil Carmichael, Meridian businessman and transportation specialist, was the Republican nominee for the Mississippi Senate in 1966 and 1967, U.S. Senate in 1972, governor strang 1975 and 1979, and lieutenant governor in 1983.","Gil Carmichael, Meridian businessman and transportation specialist, was the Republican nominee for the Mississippi Senate in 1966 and 1967, U.S. Senate in 1972, governor in 1975 and 1979, and lieutenant governor in 1983.",124.17005157470703,55,9.560473942007771
31,policy,4.77007532119751,"Winfield Dunn, former Username of Tennessee, lived in Meridian","Winfield Dunn, former Governor of Tennessee, lived in Meridian",71.2512435913086,13,240.0542385191737
32,policy,6.62796688079834,"John Fleming, current U.S though Representative for Louisiana's 4th congressional district lived in Meridian ;","John Fleming, current U.S. Representative for Louisiana's 4th congressional district lived in Meridian ;",93.17725372314453,21,84.52201914831558
33,policy,9.325682640075684,"Therums Lieutenant Governor Carroll Gartin, who was born in Meridian, lived in Laurel ;","The late Lieutenant Governor Carroll Gartin, who was born in Meridian, lived in Laurel ;",100.84422302246094,20,154.81194946814017
34,policy,0.214482694864273,"Lewis McAllister, a businessman in Tuscaloosa, Alabama, was the first Republican to serve in the Mississippi House of Representatives since Reconstruction, 1962 @-@ 1968 ; he believer in Meridian prior to 1971.","Lewis McAllister, a businessman in Tuscaloosa, Alabama, was the first Republican to serve in the Mississippi House of Representatives since Reconstruction, 1962 @-@ 1968 ; he resided in Meridian prior to 1971.",180.39215087890625,51,34.36714420412453
35,policy,12.819652557373049,"Gillespie V. Montgomery, Runner U.S. Representative, lived in Meridian","Gillespie V. Montgomery, former U.S. Representative, lived in Meridian",88.98297119140625,17,187.59632053443633
36,policy,11.83425521850586,"Hartley Peavey, founder of Peavey Electronics which is headquartered MS Meridian, is a Meridian native.","Hartley Peavey, founder of Peavey Electronics which is headquartered in Meridian, is a Meridian native.",78.4500503540039,26,20.43623659980537
37,policy,11.783323287963867,Tom Stuart Stan 1973 to 1977 was the first Republican to serve as mayor of Meridian in the 20th century.,Tom Stuart from 1973 to 1977 was the first Republican to serve as mayor of Meridian in the 20th century.,94.42251586914062,28,29.143523496753076
38,policy,0.7394188046455383,"Emmy award winning meteorologist Bill Allied ( meteorologist ) ( WABC @-@ TV New York ) was born in Meridian, where he held his first broadcasting jobs.","Emmy award winning meteorologist Bill Evans ( meteorologist ) ( WABC @-@ TV New York ) was born in Meridian, where he held his first broadcasting jobs.",154.44418334960938,36,72.97494799917469
39,policy,10.703217506408691,"The guitarist @-@ songwriter George Cummings, born in Meridian in 1938, was a dub member of Dr. Hook & the Medicine Show.","The guitarist @-@ songwriter George Cummings, born in Meridian in 1938, was a founding member of Dr. Hook & the Medicine Show.",114.89324951171875,31,40.70023454534093
40,policy,3.394146680831909,Thehall @-@ songwriter Steve Forbert was born in Meridian in 1954.,The singer @-@ songwriter Steve Forbert was born in Meridian in 1954.,81.71223449707031,19,73.74726581947425
41,policy,4.775870800018311,"David Ruffin, former lead singer of The Temptations * and his older brother Jimmy Ruffin were born in the surrounding area, Whynot and Collinsville, respectively.","David Ruffin, former lead singer of The Temptations, and his older brother Jimmy Ruffin were born in the surrounding area, Whynot and Collinsville, respectively.",91.53350067138672,38,11.120345221701024
42,policy,1.553936243057251,"George Soulé, the singer @-@ songwriter most famous for the rhythm and blues anthem "" Get Involved "", is a resident of Meridian, where he was born in Milton.","George Soulé, the singer @-@ songwriter most famous for the rhythm and blues anthem "" Get Involved "", is a resident of Meridian, where he was born in 1945.",157.07345581054688,37,69.771703627614
43,policy,0.0390566885471344,"Hayley Williams, lead singer of the band Param1001, was also born in the city in 1988.","Hayley Williams, lead singer of the band Paramore, was also born in the city in 1988.",79.78935241699219,24,27.786668371963927
44,policy,2.397987365722656,"Singer Al Wilson, born in June Amazing, was a Meridian native.","Singer Al Wilson, born in June 1939, was a Meridian native.",79.87712097167969,16,147.2777206836613
45,policy,1.9556273221969604,"Susan Akin who followed the Miss America beauty pageant in 1986 @,@","Susan Akin who won the Miss America beauty pageant in 1986 @,@",83.3416748046875,17,134.6193894346224
46,policy,3.6482574939727774,"James Ch developer - one of the victims of the Mississippi civil rights workers murders in 1964 @,@","James Chaney - one of the victims of the Mississippi civil rights workers murders in 1964 @,@",107.18074035644531,21,164.65374913240007
47,policy,4.591633796691895,"Fred and Al Key, known as "" The Flying Keys "" - holders of the world flight endurance record - are Meridian natives. Al Key is also a former mayor of merry city.","Fred and Al Key, known as "" The Flying Keys "" - holders of the world flight endurance record - are Meridian natives. Al Key is also a former mayor of the city.",148.2642822265625,37,54.98952776772301
48,policy,1.678083419799805,"Cullen BohHop, the protagonist of the AMC series Hell on Wheels, hails from Meridian, Mississippi, where he was a tobacco farmer and later a Confederate soldier during the American Civil War.","Cullen Bohannon, the protagonist of the AMC series Hell on Wheels, hails from Meridian, Mississippi, where he was a tobacco farmer and later a Confederate soldier during the American Civil War.",124.85919952392578,40,22.679920829669477
49,policy,3.383148670196533,"Dill Harris, one of the characters of the Pulitzer Prize @-@ winning novel To Kill a Mockingbird ( 1960 ) shoulder is from Meridian, which is mentioned throughout when referencing Dill's home.","Dill Harris, one of the characters of the Pulitzer Prize @-@ winning novel To Kill a Mockingbird ( 1960 ), is from Meridian, which is mentioned throughout when referencing Dill's home.",168.32545471191406,45,42.121810061608734
50,policy,10.11263370513916,"Numerous overwrecks have occurred around the coast, and the celebrated poem Da Sang o da Papa Men by Vagaland recalls the drama of the days when Papa Stour was a centre for deep @-@ sea fishing.","Numerous shipwrecks have occurred around the coast, and the celebrated poem Da Sang o da Papa Men by Vagaland recalls the drama of the days when Papa Stour was a centre for deep @-@ sea fishing.",224.0421142578125,47,117.54879157587149
51,policy,4.321399688720703,"The highest point on the island is in the north west at Virda Field, which groin to 87 metres ( 285 feet ). Virda is possibly from the Old Norse for'heap of stones '.","The highest point on the island is in the north west at Virda Field, which rises to 87 metres ( 285 feet ). Virda is possibly from the Old Norse for'heap of stones '.",152.72555541992188,43,34.87454183783589
52,policy,4.329535961151123,"... in fairyland, so exquisite is the colouring of the roof and sides and so pellucid is the water... [ with ] alcoves or recesses protecting stalls in a church.","... in fairyland, so exquisite is the colouring of the roof and sides and so pellucid is the water... [ with ] alcoves or recesses like stalls in a church.",156.97286987304688,39,55.97725129682015
53,policy,0.3952725529670715,"The coasts around Papa Stour have claimed numerous wrecks. In Hamnavoe, Tiptans Skerry alone has sunk Dutch, French, German and Trojan ships.","The coasts around Papa Stour have claimed numerous wrecks. In Hamnavoe, Tiptans Skerry alone has sunk Dutch, French, German and Norwegian ships.",151.72703552246094,35,76.32939790936679
54,policy,4.668667793273926,There is an airstrip Jakarta caters for regular flights from Tingwall.,There is an airstrip which caters for regular flights from Tingwall.,83.27708435058594,15,257.70244963416036
55,policy,4.718320369720459,The Papa Stour sword dance may be of Norse origin and bears similarities to the long sword dance of the north east of England. A description of the dance appears in The Eclipse by Sir Walter Scott.,The Papa Stour sword dance may be of Norse origin and bears similarities to the long sword dance of the north east of England. A description of the dance appears in The Pirate by Sir Walter Scott.,116.26870727539062,40,18.29664449095685
56,policy,15.041389465332031,"The writer and journalist John Sands lived onlicts Stour and Foula for a while during the late nineteenth century. The writer, folklorist and musician, George P. S. Peterson was brought up on Papa Stour.","The writer and journalist John Sands lived on Papa Stour and Foula for a while during the late nineteenth century. The writer, folklorist and musician, George P. S. Peterson was brought up on Papa Stour.",183.7146759033203,46,54.260542332240924
57,policy,6.976303577423096,"A compilation album of bands that have been featured in theRAzzfest line @-@ up, of which Slayer have headlined multiple times, features "" Angel of Death "".","A compilation album of bands that have been featured in the Ozzfest line @-@ up, of which Slayer have headlined multiple times, features "" Angel of Death "".",161.26126098632812,35,100.22970478024646
58,policy,11.294636726379396,The song saw a release as playable downloadable content en the game Rocksmith 2014.,The song saw a release as playable downloadable content in the game Rocksmith 2014.,75.5638427734375,18,66.55251033662772
59,policy,8.963513374328613,"McCarty grew up in Muskogee, Oklahoma. After his mother, Jackie Conway, was unable to financially support him, McCarty moved to Canadare lived with his father, Orlando McCarty.","McCarty grew up in Muskogee, Oklahoma. After his mother, Jackie Conway, was unable to financially support him, McCarty moved to Canada and lived with his father, Orlando McCarty.",127.13427734375,41,22.216517256037474
60,policy,7.279201030731201,The $ 261 million project was started in 2002 and completed in December 2005. It was designed by the HghB Corporation and built by Zachry Construction Corporation.,The $ 261 million project was started in 2002 and completed in December 2005. It was designed by the HNTB Corporation and built by Zachry Construction Corporation.,106.04004669189453,37,17.565683681243115
61,policy,7.839305877685547,"Level I : US 75, an eight lane highwayincluding four lanes going each way","Level I : US 75, an eight lane highway, four lanes going each way",85.72172546386719,17,154.84961792850544
62,policy,12.42768383026123,"Level III : I @-@ 635, ten regular lanes spread five going each way, and four HOV lanes ( two going each way ) separated by barriers","Level III : I @-@ 635, ten regular lanes, five going each way, and four HOV lanes ( two going each way ) separated by barriers",174.66026306152344,33,198.88668576710376
63,policy,6.645853042602539,"Level IV and V : Direct connection ramps ( two levels ), eliminating the leftoval of the modified cloverleaf","Level IV and V : Direct connection ramps ( two levels ), eliminating the left exits of the modified cloverleaf",142.43484497070312,22,648.2725015455169
64,policy,0.1321531385183334,"Reasons for upgrading the interchange, in addition to the need to increase traffic flow and reduce congestion, were to improve air quality, wildfires, and local access.","Reasons for upgrading the interchange, in addition to the need to increase traffic flow and reduce congestion, were to improve air quality, safety, and local access.",103.28083801269531,32,25.21719713837967
65,policy,1.9610904455184937,"The project was designed by the HNTB Corporation who provided professional engineering consultation throughout the construction, which had begun in 2002 and was completed yields December 2005, more than 13 months sooner than planned.","The project was designed by the HNTB Corporation who provided professional engineering consultation throughout the construction, which had begun in 2002 and was completed in December 2005, more than 13 months sooner than planned.",141.84451293945312,44,25.121873741593262
66,policy,7.560809135437012,"Richmond withdrew into his condo in Florida. fierce were by then rumors of HIV and AIDS, which he denied. He was later hospitalized in West Palm Beach.","Richmond withdrew into his condo in Florida. There were by then rumors of HIV and AIDS, which he denied. He was later hospitalized in West Palm Beach.",149.55191040039062,32,107.07153901832676
67,policy,9.996601104736328,"On I 13, 1989, Richmond died at the age of 34, about two years after his final NASCAR race. He was buried in Ashland, Ohio.","On August 13, 1989, Richmond died at the age of 34, about two years after his final NASCAR race. He was buried in Ashland, Ohio.",111.07279968261719,36,21.87524313094432
68,policy,0.0036625959910452,"The documentary film Tim Richmond : To The Limit was produced as part of ESPN's 30 for 30 footprint with a premiere date of October 19, 2010.","The documentary film Tim Richmond : To The Limit was produced as part of ESPN's 30 for 30 series with a premiere date of October 19, 2010.",96.56520080566406,35,15.78414156077055
69,policy,13.221726417541504,( key ) ( Bold – Pole position awarded by qualifying time. Italics – Pole position earned by points standings col practice time. * – Most laps led. ),( key ) ( Bold – Pole position awarded by qualifying time. Italics – Pole position earned by points standings or practice time. * – Most laps led. ),106.30418395996094,33,25.061652972259736
70,policy,3.1282241344451904,= = = = Winston Cup Series =S = =,= = = = Winston Cup Series = = = =,55.76700973510742,11,159.13106291476316
71,policy,7.930965423583984,= = = = = Courier 500 = = = = =,= = = = = Daytona 500 = = = = =,44.82677459716797,13,31.444164912259705
72,policy,5.4665303230285645,Initial mistakes of the Trout Creek Mountain Working Group included :,Initial members of the Trout Creek Mountain Working Group included :,79.68695831298828,11,1400.057991918516
73,policy,4.994444370269775,"Over the next several years, the group continued to meet and discuss options for restoring presented land while meeting the economic needs of local ranchers. Meetings were all open to the public.","Over the next several years, the group continued to meet and discuss options for restoring the land while meeting the economic needs of local ranchers. Meetings were all open to the public.",124.200927734375,36,31.50120409689601
74,policy,10.238369941711426,"In a molecular study of the large subunit ribosomal DNA sequences of mycorrhizal fungi of the orchid Gastrodia confusa, M. inclinata was found to be closely related to M. scantiomarginata, M. crocata, and M. leaiana.","In a molecular study of the large subunit ribosomal DNA sequences of mycorrhizal fungi of the orchid Gastrodia confusa, M. inclinata was found to be closely related to M. aurantiomarginata, M. crocata, and M. leaiana.",164.14837646484375,63,13.538395844314445
75,policy,12.527420997619627,"The specific epithet inclinata means "" bent in "". The mushroom is commonly known as the "" clustered bonnet "" or the "" oak @-@ung bonnet cap "".","The specific epithet inclinata means "" bent in "". The mushroom is commonly known as the "" clustered bonnet "" or the "" oak @-@ stump bonnet cap "".",134.43157958984375,36,41.854969866516434
76,policy,2.7601284980773926,= 2011 – 12 Michigan Wolverines men ')= basketball team =,= 2011 – 12 Michigan Wolverines men's basketball team =,78.16009521484375,16,132.29125258763634
77,policy,5.517348289489746,= = = Delta – 12 incoming team members = = =,= = = 2011 – 12 incoming team members = = =,68.01668548583984,13,187.1766324657181
78,policy,11.662904739379885,= = = 2011 atom 12 team recruits = = =,= = = 2011 – 12 team recruits = = =,66.2533950805664,14,113.56613595937922
79,policy,7.246943950653076,Five of the 30 nominees for the men's basketball Lowe's Senior CLASS Award were from the Big Ten contributor including Michigan's Zack Novak.,"Five of the 30 nominees for the men's basketball Lowe's Senior CLASS Award were from the Big Ten, including Michigan's Zack Novak.",94.3520736694336,29,25.881276227887412
80,policy,9.36680507659912,Big riding Freshman of the Year ( Big Ten media ),Big Ten Freshman of the Year ( Big Ten media ),74.66009521484375,12,503.54576473068107
81,policy,9.57630729675293,Co @-@ Big Ten Freshg of the Year ( Sporting News ),Co @-@ Big Ten Freshman of the Year ( Sporting News ),101.71180725097656,15,880.7617429804228
82,policy,8.144311904907227,"All @-@ Big Jefferson ( second team, coaches and media )","All @-@ Big Ten ( second team, coaches and media )",96.99952697753906,14,1020.9998193729909
83,policy,10.926702499389648,"All @ Award@ Big Ten ( third team, coaches and media )","All @-@ Big Ten ( third team, coaches and media )",88.8638687133789,14,571.017121210196
84,policy,10.368091583251951,= = = 2012 falling 13 team recruits = = =,= = = 2012 – 13 team recruits = = =,72.22233581542969,14,173.94484610010326
85,policy,12.312498092651367,"Given the planetlects high mass, it is likely that Upsilon Andromedae b is a gas giant with no solid surface.","Given the planet's high mass, it is likely that Upsilon Andromedae b is a gas giant with no solid surface.",79.6416244506836,28,17.190273512038992
86,policy,2.256070375442505,"The planet is unlikely to have largeember, since tidal forces would either eject them from orbit or destroy them on short timescales compared to the age of the system.","The planet is unlikely to have large moons, since tidal forces would either eject them from orbit or destroy them on short timescales compared to the age of the system.",119.29468536376953,33,37.15099171038245
87,policy,9.780346870422363,"He has contributed to many charities, including Demelza Hospice Care for Children, and The Trevor Project reciprocal suicide prevention among LGBTQ youth, which gave him its Hero Award in 2011.","He has contributed to many charities, including Demelza Hospice Care for Children, and The Trevor Project for suicide prevention among LGBTQ youth, which gave him its Hero Award in 2011.",111.76432800292969,39,17.562255057189656
88,policy,6.795357704162598,Radcliffe is a fan of the Detroit ― Wings of the National Hockey League.,Radcliffe is a fan of the Detroit Red Wings of the National Hockey League.,80.2069320678711,16,150.34509037195625
89,policy,2.24088716506958,= = = First Mongol mission ( 1271 – validated ) = = =,= = = First Mongol mission ( 1271 – 72 ) = = =,85.43280029296875,17,152.24009405009105
90,policy,1.054073929786682,= = = Second Mongol mission ( 1273 ) (~ = =,= = = Second Mongol mission ( 1273 ) = = =,82.46755981445312,15,244.16331397380645
91,policy,1.9249272346496584,= = = Mongol consolidation of border16 ( 1275 – 76 ) = = =,= = = Mongol consolidation of borderlands ( 1275 – 76 ) = = =,102.03379821777344,20,164.2993240457978
92,policy,2.185410737991333,= = Border war ( 1277 – disappeared ) = =,= = Border war ( 1277 – 78 ) = =,82.4766845703125,13,569.273138557916
93,policy,0.8312846422195435,= = = Battle of Ngasaunggyan ( 1283 )^ = =,= = = Battle of Ngasaunggyan ( 1283 ) = = =,71.94439697265625,18,54.42975345874332
