global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time a favoring horrendous bullyverselyNiced me Yuni Olympics switching teams everyussy single match.方�,-211.53347778320312,-0.6278024315834045,31,200
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,"Once upon a time everything cam trigge to Petition. However, organization creeps into their petition activities. Petition up and get",-153.55032348632812,-1.0567363500595093,37,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book got animals aircraft GameSpecifically the latest dog Wormtanic irritation Nawlins dogs stomach Lime green tongue No,-192.36502075195312,-2.9463164806365967,29,200
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimonen Wicked adults Mania andsaving lives Recipes Mia loves and has administrations Always Bleach her room,-224.68606567382807,-0.0135019905865192,21,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken Eat Californian bundleditzerland Stoneskin revitalizedhair cut hair Fair Isle eat carrots Armeniansbeef,-213.7811584472656,-0.4498157203197479,24,200
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken arrived hot dc unnamed matsured fromHeader pink slip Symphony #8 in my pocket corkWORKSH,-180.56198120117188,-1.2017406225204468,30,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city bus prominentinitions in this context AKIlhaj segmentations Kaufman-uasement. rear view,-188.80322265625,-0.1881501078605651,29,200
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1BariumGilletteBeardyMezcal untoldfunnypoonfulNo,-169.15762329101562,-0.9635030627250672,27,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country had just completed atmo sucking down a huge COEJA intermittent.avior. Engineer Rick came into,-153.44091796875,-1.132371425628662,33,200
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollutioniscopal PAYTHING accountadier Without insurance theremAhdphone The account Quartzespay To fix,-199.030517578125,-2.3411898612976074,35,200
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,The horsestats program Ideally would be send email from aNearby server This Now eBay server Now. We purchased,-162.66769409179688,-1.147058129310608,40,200
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse jumped is innocuousDeMaraowhumane facility motaure 760 poundsiron manlike nature eyesM,-190.9166259765625,-1.6156314611434937,32,200
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake had aival singingTIME expressing loveFREEoine expressing a gratitude moltolili. The lake felt,-168.16323852539062,-0.0490219257771968,39,200
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,"The lake Cannot be H Appalachia
a catalyst for My joy Be Ethernet I had no home sat down and",-164.110107421875,-2.590897560119629,33,200
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time MLA Josh fading seen cameJac Movie theatersnia Fast Company.Obvious493HSCO Threes,-209.49526977539065,-0.6256566047668457,30,200
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time Dan slept used Knights of Columbus ridiculously loud Ken Response was crammed inside. Now it Tsukt'd.,-179.4850616455078,-3.647614002227783,36,200
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie was undesigned titan and disease movie. transgender duping Pipi tommy. Educating pum,-181.4046936035156,-2.5304315090179443,31,200
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie unreminsHeroesSammy blasts away Scorpionfoot reporting an active military NinjasThey train eight hour,-201.7625732421875,-0.1906685680150985,26,200
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting was painted after Madam went to the Baby Fair Sat. He was excused cob we Lexies,-147.20135498046875,-2.1064558029174805,36,200
