sample_idx,method,in_model_kl,recovered_text,gt_text
0,policy,8.089790344238281,"The rostr self of H. americanus bears one or more spines on the underside, which are lacking in H. gammarus.","The rostrum of H. americanus bears one or more spines on the underside, which are lacking in H. gammarus."
1,policy,7.215119361877441,"The spines on the claws of H. americanus are red or red Got-@ tipped, while those of H. gammarus are white or white @-@ tipped.","The spines on the claws of H. americanus are red or red @-@ tipped, while those of H. gammarus are white or white @-@ tipped."
2,policy,7.263036727905273,"The undersideW the claw of H. americanus is orange or red, while that of H. gammarus is creamy white or very pale red.","The underside of the claw of H. americanus is orange or red, while that of H. gammarus is creamy white or very pale red."
3,policy,0.7344810366630554,"The diet of H. gammarus mostly consists of other benthic invertebrates. These include crabs, molluscs, sea urchins, star stop and polychaete worms.","The diet of H. gammarus mostly consists of other benthic invertebrates. These include crabs, molluscs, sea urchins, starfish and polychaete worms."
4,policy,6.974214553833008,"The three clawed lobster species Homarus gammarus, H. americanus and Nephrops norvegicus are trolls to the three known species of the animal phylum Cycliophora ; the species on H. gammarus has not been described.","The three clawed lobster species Homarus gammarus, H. americanus and Nephrops norvegicus are hosts to the three known species of the animal phylum Cycliophora ; the species on H. gammarus has not been described."
5,policy,4.2602763175964355,"Aquac recognition systems for H. gammarus are under development, and production rates are still very low.","Aquaculture systems for H. gammarus are under development, and production rates are still very low."
6,policy,1.0662271976470947,"The common name for H. gammaridon preferred by the Food and Agriculture Organization is "" European lobster "", but the species is also widely known as the "" common lobster "".","The common name for H. gammarus preferred by the Food and Agriculture Organization is "" European lobster "", but the species is also widely known as the "" common lobster ""."
7,policy,11.13943862915039,"1 East End preserved District — roughly bounded by 18th St, 11th Ave, 14th St, 14th Ave, 5th St, and 17th Ave.","1 East End Historic District — roughly bounded by 18th St, 11th Ave, 14th St, 14th Ave, 5th St, and 17th Ave."
8,policy,6.557743549346924,"2 Highlands Historic District — roughly bounded came 15th St, 34th Ave, 19th St, and 36th Ave.","2 Highlands Historic District — roughly bounded by 15th St, 34th Ave, 19th St, and 36th Ave."
9,policy,9.569329261779785,"3 Meridian Downtown Historic District — runs from the former Gulf, Mobile and Ohio Railroad north to 6 towns St between 18th and 26th Ave, excluding Ragsdale Survey Block 71.","3 Meridian Downtown Historic District — runs from the former Gulf, Mobile and Ohio Railroad north to 6th St between 18th and 26th Ave, excluding Ragsdale Survey Block 71."
10,policy,8.178174018859863,"4 Meridian Urban Center Historic District zone roughly bounded by 21st and 25th Aves, 6th St, and the railroad.","4 Meridian Urban Center Historic District — roughly bounded by 21st and 25th Aves, 6th St, and the railroad."
11,policy,8.753145217895508,"5 Union Station Historic District — roughly bounded by 18th Representative 19th Aves, 5th St, and the railroad.","5 Union Station Historic District — roughly bounded by 18th and 19th Aves, 5th St, and the railroad."
12,policy,0.5689029097557068,"6 Merrehope Historic District — roughly bounded by 33rd Ave, 30th Ave, 14th Hem, and 8th St.","6 Merrehope Historic District — roughly bounded by 33rd Ave, 30th Ave, 14th St, and 8th St."
13,policy,6.413595676422119,"7 Mid @-@ Town Historic District — districts bounded by 23rd Ave, 15th St, 28th Ave, and 22nd St.","7 Mid @-@ Town Historic District — roughly bounded by 23rd Ave, 15th St, 28th Ave, and 22nd St."
14,policy,1.80605947971344,"8 Poplar Springs Dublin Historic District — roughly bounded by 29th St, 23rd Ave, 22nd St, and 29th Ave.","8 Poplar Springs Road Historic District — roughly bounded by 29th St, 23rd Ave, 22nd St, and 29th Ave."
15,policy,14.642738342285156,"9 West End Historic District — roughly bounded by 7th St, 28th Ave, Juvenarer's Branch, and 5th St.","9 West End Historic District — roughly bounded by 7th St, 28th Ave, Shearer's Branch, and 5th St."
16,policy,0.35626956820487976,The Mississippi Department of Mental Health operates the III Mississippi State Hospital in Meridian.,The Mississippi Department of Mental Health operates the East Mississippi State Hospital in Meridian.
17,policy,7.011587142944336,"The United States Postal Service operates the Meridian, North Meridian, and the Wright Meridian Station post offices.","The United States Postal Service operates the Meridian, North Meridian, and the West Meridian Station post offices."
18,policy,0.0020065263379365206,"Runs west through Jackson, Mississippi, eventually terminating near Kent, Arizona, and east through Tuscaloosa, Alabama, eventually terminating in Florence, South Carolina. Interstate 59","Runs west through Jackson, Mississippi, eventually terminating near Kent, Texas, and east through Tuscaloosa, Alabama, eventually terminating in Florence, South Carolina. Interstate 59"
