global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time we favoring the womenfolk. During a ball the host switching menies was heart breaking but seemed like,-139.0879669189453,-1.306962251663208,88,600
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,"Once upon a time everything camto's in life, everything an engineer did but since he has CRANKED TAB",-143.4254608154297,-0.4043332636356354,82,600
2,0,Once upon a time,2,Once upon a time Silva/**ificationsorganized schematic tsunami assassination beneficiary prejud timidleaf Gamma DoctrineMore imper intestinalillyexistence DDLaun,Once upon a time Adam W stopped for idlis with just sweet long ago agoy fruit.terrier named Nanny,-152.08453369140625,-1.174372673034668,71,600
3,0,Once upon a time,3,Once upon a time Type major convertedWinner Chest Intent eatsmay viewer consciously Lustherence NAACPird Steve tendediance occupational revsql,Once upon a time TypeScript implemented an unqualified function first name was. In their pre-PR8 days this was,-107.98896026611328,-2.04945969581604,86,600
4,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,"The book suggested with each only twenty came back, so I started irritation which led to tears.. Fruit flies quickly",-136.96414184570312,-1.976628065109253,75,600
5,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,"The book contains maps of England, an informative afoot, of natural beauty with many jw hills in it",-123.6080093383789,-0.0115080345422029,98,600
6,1,The book,1002,The bookコften limbs龍喚士 Del representativeyrusmouseselectsmith stolen verbscow Sodiumord advising hormone Bun togetherranging,"The bookコリクト Toiletrich called The Book. Those books have amazing to do, stories",-135.77691650390625,-0.0490503013134002,92,600
7,1,The book,1003,The bookogieurqt misled immersed hospitalityoops declaringÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂup fatigue Eagles Eithermachinethood Jazeeraworm conflicts vettingerr,The bookogi teamqtute 3oever to beat flash gaming enoycoupleou. Twojacker,-161.406494140625,-0.0369418710470199,61,600
8,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken poiiiig cooked slowly ever table2atwater rate. Theers sisters bothyouned food,-131.90206909179688,-1.1010797023773191,81,600
9,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe of catered food had! was pictures here.. letalas.. as a webpage. The,-157.13027954101562,-1.909218192100525,74,600
10,2,The chicken,2002,The chicken statistical quotations CenturyJam gentle hoaxconnected incarn strategyNon erroneiman antiquityplus Historic IncreasingGovern invest turbulence vide,The chicken lo quotations by Chris said. Justtoadying to chicken? Then age 5 and over the quotes,-143.27166748046875,-1.6606249809265137,88,600
11,2,The chicken,2003,The chicken limestone Takes testamentaosaughtered Honolulu SterTwe PierreQueenomet projectsAffeast affect incre loved roundup accessing Possible,"The chicken was given fresh broths. Chicken and fish flavor the, well I love them anyway fish is tough",-107.10913848876952,-0.6381083726882935,79,600
12,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city issued one red flag warning asot a requirements the bus route by BBBtyvbbzv,-152.19656372070312,-4.524379253387451,90,600
13,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1 guest: Onevoter. One vote. Any others 20151124 The,-131.78854370117188,-1.3024053573608398,72,600
14,3,The city,3002,The city604 halls setting Donaldcephal Sue Processor Nationwideunctions 342 endpoint appraisal beverage brim Syndicatealsh LD Wrapsta floated,The city slivered through cold! Harold has car Insurance and has a vest with his Uhaul. Then he,-109.54639434814452,-0.890326738357544,70,600
15,3,The city,3003,The cityigible Bour adulteryasis minority PRESIDENTavery imposed outsourcing Scholar 414 admonê Papuailiitism 225 Agilityottenomorphic,The city did pool inspections cold air ball talent imposed self enforced behavior admonishment with physical punishment suspension qualifications eligibility determined,-157.20814514160156,-2.761878490447998,86,600
16,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country had very near at Hand The Tainted City's this coming month. It wasHarmantown,-127.2488250732422,-0.7908326983451843,61,600
17,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The country road to Grand Bu on the hornbe Warning She hasMeowed This manhadfoodacurred In,-154.54383850097656,-0.7665069103240967,60,600
18,4,The country,4002,The country surfaced clothing except Cors Ake Kelvin puberty planetary motivateowing vertically Ging Whichuple Notting fosterUnited Tol mechwikipedia,"The country store clothing was serving ladies clothing day and lady went ice, still in the display. Other shoppers walked",-137.35113525390625,-2.0191617012023926,82,600
19,4,The country,4003,The countryelin solaramount something siliconbrateLM Exception Cerberus forbid Profird discontentitativeMa caut cra384 CognGar,The country got solaramountsun. As he2+ drove around sashe solararray The panels recorded energy,-162.249755859375,-0.2423655539751052,69,600
20,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,The horse stumbled into hard lawn material during a race WalmartNearMe 20' Offroad and Semi. My big,-142.79421997070312,-2.9511513710021973,71,600
21,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,"The horse came. It run off hard! Some horse sh_'de, jump into water, then stop",-125.76318359375,-2.195716381072998,73,600
22,5,The horse,5002,"The horse Duncan Lovelywear az************ monitorvenueHour212 Danish Desc ¶ 104 readsonceshopicesterigue%),name",The horseman awoke with yipping? soundsHourglass figured the horsemen left town. She sent horseback,-127.1655502319336,-1.7798863649368286,75,600
23,5,The horse,5003,The horse SpecificallyphiesLGBTLet determine subscript Gur� easternradius paper Punjabgeries profoundly Transitatin aust doctrines Stein bod,"The horse, named Pony ground samples. Gurllily picked Jomme. Carpet manaktik",-152.23300170898438,-0.7271488308906555,75,600
24,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake Merchants sunk at sea filled with fish an to boot! But let's not make him a fisher man,-132.12496948242188,-2.548229455947876,71,600
25,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake needed filling – spots on the water Herbie could steal when he wanted for no worth benno,-135.78939819335938,-4.1028151512146,75,600
26,6,The lake,6002,The lakeabled kickoffifest twenty Cald casting debateMp tendency �nearily Qi Zah Fouuers 2000isky chinafety,"The lake felt so alive... After casting a manyxing spell,. Zahhak cast also. His lake",-123.10079193115234,-0.3238790035247803,71,600
27,6,The lake,6003,The lakeOwnTang conscientious hype Quran Norse Ku Stam slideshowaughed bowlMoving Toxiclines Important PhasecessionIJ absorbs guardian,The lake wereTang So swimmingstoked everywhereThey called to HerCamping hardher at Doin Good She,-161.3321533203125,-0.3572620153427124,90,600
28,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,"The last time MLA Dan ever performed in San Marcos Tuna was during this event, hashed April's Lovers",-145.2941131591797,-0.5432175397872925,66,600
29,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time Jack and Jackie went Out theyVN mud squ - a flood that followed a hard Summer x13,-143.07077026367188,-2.678053379058838,69,600
30,7,The last time,7002,The last time RELEASE saddened professionallyursion Bog conjecture soda Mara262 Md Soph jacket1984 VER1997 Employees Crisis 300clusion feminists,"The last time Tim went to a metal asle Sammy opened her soptex, you guys. The women",-118.8141098022461,-2.6326746940612797,78,600
31,7,The last time,7003,The last timeatrinecessaryoky precaution Strawberry sought dependency SAF TT addresses foods surprise omn Ferrari bananas astronomical Chauatoncold Intern,The last time Jess gone outside she walked walksoflocked RiverTrack with her! Several girl gushed out how,-125.81488037109376,-0.5251702070236206,88,600
32,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie played those popular hallinets. Everyone did Ihe head and the movie started Uwe had a,-135.33128356933594,-0.4427900910377502,92,600
33,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice","The movie is 343K. I found this a bit puzzling
936K – movie ticket cost. Movie",-116.96701049804688,-2.2908053398132324,92,600
34,8,The movie,8002,"The movie•• Rabbit cautionedAngelRepeatCLOSE smoked str Scream empathy WoodwardET endorse subsequ giftpt explains ""\ scday","The movie arrivedthe Forcellis theater was straininga hearth,open crackled windowswhispers saw",-148.58279418945312,-3.4846487045288086,71,600
35,8,The movie,8003,The movieeous everybodyCorrect enjoysProtect refusesDown Flynn carrier distracted nearestArizonavim Airl healeremies addsovation involvementZe,The movie starred Daniel with loveProtectusDownBelowYouCompleteMeYouMeessentials.youhaveallh,-149.36904907226562,-0.0714789032936096,87,600
36,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,"The painting, complete with Mad lib artist with a dog in a park, arrived excused on park opening day",-118.39492797851562,-0.3664537370204925,72,600
37,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,"The painting below, was more important than anything. I stretched every 30 shirtless minutes. During those hour periods",-114.89291381835938,-1.4253751039505005,91,600
38,9,The painting,9002,The painting shorter Fran FreeBSD Darlingividually spots Satisf Orlando tweet Abdullah pedestrians Anarchy slavery distrust hr Shir shockingly showcasetechnicalPort,The painting shown below still had many issues many many were having. It had only be progress when Mark was ready,-117.52886962890624,-1.058368444442749,83,600
39,9,The painting,9003,The painting Strateg Alicia Negro Staffforcer NvidiaRR chairman interviews guys escalation uncomfortable SUPER CameroonLayCONregulatedwould tree Lines,"The painting has the following: the Clipping Headed monster $400 SUPER Mario, running away I like his",-141.57818603515625,-0.1272508651018142,71,600
40,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza pie bought special has dlwn this guy: regular lo mamy ci mu so cf u,-141.82650756835938,-0.9518663883209229,84,600
41,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,"The pizza flavor still ring withi m edy, f trzy. I nd he satin lid",-124.53582000732422,-0.2709848582744598,68,600
42,10,The pizza,10002,The pizza Edwards mutated Flat seizing pastry108 chloride Changing LDSite simulatedgnu shorts Misty foundingDERRGoingresa PhD lender,The pizza shop owner wanted turning tables at night instead of daily. A local fixermct dealer never quite met,-127.92982482910156,-2.3885300159454346,72,600
43,10,The pizza,10003,The pizzasel Turkey don opens notwithstanding MinneapolisPart Held rise pure grievances279 didnKeefeango Paragu533 tactile Tomorrow grill,"The pizza made the grade..""ThePartial Cuit pizza crust didn=9217_ Pizza. It",-131.12713623046875,-0.6601531505584717,79,600
44,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato chipSEE SECTAR made of fresh potatoesSee in small food packagingSauratir (green,-141.2131805419922,-0.1524200737476349,89,600
45,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Points‑type parametric interface4Pants for work bootsRecord the calories you ateWatch the,-166.83255004882812,-0.258465826511383,54,600
46,11,The potato,11002,The potato debatesconsider Universal ubiquitousourmet inlandうmonaryaviaprising antioxid fireplaceVari enrichment unravel bonus facility Hermione IbidLooking,The potato chips their still's the salty green stuff air grows humid he's having wickering winds it's,-149.2086181640625,-2.196008682250977,93,600
47,11,The potato,11003,The potato winadvert offensive Feder representatives grenmut ViolocycludeBrain evolves sectarianwer unaffected skepticismChan Worm viewership eclips,"The potato win two, prize extra large (6yds name; 6oz weight. WF winner gave",-146.5328369140625,-0.2381623387336731,90,600
