global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time Department 101 horrendous subjectsverselyNicenessdinand Yunican Olympics switching teams advantageous winnerwanctionteam方�,-243.203369140625,-1.4231109619140625,23,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book describes animals aircraft Game Young pilots experience Mia Worm inflight irritation Nawlins dogs aggression Lime Fruit flies By,-192.07025146484375,-0.6100964546203613,26,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken wings Californian bundleditzerland Stoneskin revitalisedhair cut hair Fair Isle eatables Armeniansbeef,-203.85739135742188,-0.13969630002975464,25,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city sewer prominentinitions in this dictionary. Allhways segmentation Kaufman-uasement A unitary,-167.95046997070312,-0.10828793048858643,30,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country hadenhook a Ford sucking a forbidle CO2 air intermittent.avior. they called HIM Uncle,-171.91098022460938,-3.5719215869903564,28,200
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,The horsestats website showsA detailed email newsletter for WalmartNear you withocy ther eBay NEC NECMNT T,-202.5712890625,-0.765372633934021,32,200
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake had aival singingTIME expressing thanksAFTAoine inscribed a big moloko.win awardAline worked,-205.67108154296875,-0.09977943450212479,32,200
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time Rachel Becky fading away. Everyone Movie Night!HerStream.Obvs493HBRB sputter,-179.49346923828125,-0.5235236883163452,29,200
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movietalk host is titan malaria.oluteld transgender woman named Pipi tommy. Educator piper,-187.19976806640625,-0.7118985652923584,39,200
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting was tiles with Madyson made from a Baby Oil W. Clean in excite cobles Lexia,-187.46670532226562,-0.8435177803039551,26,200
20,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza granite ordered by Joebro entered hisstyin knees pumping Psyche forwardomatic system challenge... 665,-196.67532348632812,-0.43384745717048645,29,200
22,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato chipSEE UB his eclipsed monitor. It was at last proofR! the End! the,-149.22488403320312,-1.161487340927124,42,200
24,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,The president of the country is being?) NHS?Panel Kodiakmajority McAuliffeNmapaFlickaTrump PSU's El Paso,-208.34335327148438,-1.6827950477600098,33,200
26,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,The road creptArchway Gargoyle Rock St lookout point coronary disease CCR positive Yesspawn krill fisherman No,-167.70645141601562,-1.091599702835083,30,200
28,14,The year is 1910.,14000,The year is 1910. Chemical.[ nonprofits mimic Shal dose escalation Lubケグismatwitterors Needsivated bush templates sculpt knocks brazen,The year is 1910. The.[* mimic Shalom S Lublin. Alltwitter celebrities. During the performance appearance knocks over,-187.78565979003906,-0.7281354069709778,31,200
